"sample_id","gene","comparison_group_candidate","cells_candidate","mean_expression_candidate","percent_cells_expressing_candidate","comparison_group_other","cells_other","mean_expression_other","percent_cells_expressing_other","mean_difference","prevalence_difference"
"S1","ACTA2","candidate_fibroblast_state",1042,0.390349755522288,20.6333973128599,"other_clusters",1742,0.578693535819354,22.3880597014925,-0.188343780297066,-1.75466238863265
"S1","ADM","candidate_fibroblast_state",1042,0.571980811722714,30.1343570057582,"other_clusters",1742,0.206747039767921,14.7531572904707,0.365233771954793,15.3811997152874
"S1","AJUBA","candidate_fibroblast_state",1042,0.0358937019276448,2.49520153550864,"other_clusters",1742,0.045035963017088,5.22388059701492,-0.00914226108944328,-2.72867906150629
"S1","AMOTL1","candidate_fibroblast_state",1042,0.172845045934998,12.5719769673704,"other_clusters",1742,0.0703524628606778,7.00344431687715,0.102492583074321,5.56853265049329
"S1","AMOTL2","candidate_fibroblast_state",1042,0.191333907767723,13.147792706334,"other_clusters",1742,0.0653327490993439,6.48679678530425,0.126001158668379,6.66099592102973
"S1","AREG","candidate_fibroblast_state",1042,0.00372677197235385,0.287907869481766,"other_clusters",1742,0.163410464662475,10.9070034443169,-0.159683692690121,-10.6190955748351
"S1","ASIC1","candidate_fibroblast_state",1042,0.00544094232355412,0.383877159309021,"other_clusters",1742,0,0,0.00544094232355412,0.383877159309021
"S1","ASIC2","candidate_fibroblast_state",1042,0.00376005275744664,0.287907869481766,"other_clusters",1742,0.000779085418386725,0.0574052812858783,0.00298096733905992,0.230502588195888
"S1","ASIC3","candidate_fibroblast_state",1042,0.00233837309328002,0.191938579654511,"other_clusters",1742,0.00263693463662601,0.34443168771527,-0.000298561543345989,-0.152493108060759
"S1","ATF3","candidate_fibroblast_state",1042,0.693473853872831,38.7715930902111,"other_clusters",1742,0.656376104358864,37.4282433983927,0.0370977495139669,1.34334969181848
"S1","BCAR1","candidate_fibroblast_state",1042,0.125862703174277,9.021113243762,"other_clusters",1742,0.090286843671745,7.69230769230769,0.0355758595025316,1.3288055514543
"S1","BIRC5","candidate_fibroblast_state",1042,0.00237455786223402,0.191938579654511,"other_clusters",1742,0.0234907174114329,2.29621125143513,-0.0211161595491989,-2.10427267178062
"S1","BNIP3","candidate_fibroblast_state",1042,0.10626169265079,7.86948176583493,"other_clusters",1742,0.0568347685918226,5.16647531572905,0.0494269240589677,2.70300645010589
"S1","CA9","candidate_fibroblast_state",1042,0,0,"other_clusters",1742,0.0090967376185416,1.14810562571757,-0.0090967376185416,-1.14810562571757
"S1","CAV1","candidate_fibroblast_state",1042,1.21415293290801,61.4203454894434,"other_clusters",1742,0.826387795690999,39.2078071182549,0.387765137217013,22.2125383711885
"S1","CCL2","candidate_fibroblast_state",1042,1.79995231571618,65.4510556621881,"other_clusters",1742,0.986115067469114,47.3019517795637,0.813837248247064,18.1491038826244
"S1","CCNA2","candidate_fibroblast_state",1042,0.0048317713641214,0.287907869481766,"other_clusters",1742,0.0103413707333235,1.20551090700344,-0.00550959936920208,-0.917603037521678
"S1","CCNB1","candidate_fibroblast_state",1042,0.0075728205813229,0.575815738963532,"other_clusters",1742,0.0178197139961816,1.77956371986223,-0.0102468934148587,-1.2037479808987
"S1","CCNB2","candidate_fibroblast_state",1042,0.00342370428454231,0.287907869481766,"other_clusters",1742,0.0110204708489574,1.14810562571757,-0.0075967665644151,-0.8601977562358
"S1","CDC20","candidate_fibroblast_state",1042,0.00289046594857995,0.191938579654511,"other_clusters",1742,0.0178193079250752,1.60734787600459,-0.0149288419764953,-1.41540929635008
"S1","CDC42","candidate_fibroblast_state",1042,0.963936132729162,56.4299424184261,"other_clusters",1742,1.26613749365395,71.5269804822044,-0.302201360924786,-15.0970380637783
"S1","CDK1","candidate_fibroblast_state",1042,0.00267418904768479,0.287907869481766,"other_clusters",1742,0.0419360610072534,3.90355912743972,-0.0392618719595686,-3.61565125795796
"S1","CDK2","candidate_fibroblast_state",1042,0.0839878424842722,6.33397312859885,"other_clusters",1742,0.0977393766854068,9.29965556831228,-0.0137515342011346,-2.96568243971344
"S1","CENPF","candidate_fibroblast_state",1042,0.0105954467675067,0.767754318618042,"other_clusters",1742,0.0201538787089763,1.60734787600459,-0.00955843194146957,-0.83959355738655
"S1","CFL1","candidate_fibroblast_state",1042,1.77434240563516,85.0287907869482,"other_clusters",1742,2.15804282844604,92.1928817451205,-0.383700422810877,-7.16409095817237
"S1","CNN1","candidate_fibroblast_state",1042,0.0416954778548311,2.97504798464491,"other_clusters",1742,0.133128118853066,7.23306544202067,-0.0914326409982351,-4.25801745737575
"S1","CNN2","candidate_fibroblast_state",1042,0.243951637526582,17.7543186180422,"other_clusters",1742,0.32382846015338,25.0861079219288,-0.079876822626798,-7.33178930388659
"S1","COL1A1","candidate_fibroblast_state",1042,2.76227978608145,90.21113243762,"other_clusters",1742,0.536782189772842,36.5671641791045,2.22549759630861,53.6439682585155
"S1","COL1A2","candidate_fibroblast_state",1042,2.99677124520884,93.6660268714012,"other_clusters",1742,0.617464617898402,41.2169919632606,2.37930662731043,52.4490349081405
"S1","COL3A1","candidate_fibroblast_state",1042,2.47916533632826,86.1804222648752,"other_clusters",1742,0.402014073786169,27.5545350172216,2.07715126254209,58.6258872476537
"S1","COL5A1","candidate_fibroblast_state",1042,0.514235730232168,32.6295585412668,"other_clusters",1742,0.0447626581416958,3.9609644087256,0.469473072090472,28.6685941325412
"S1","COL5A2","candidate_fibroblast_state",1042,0.615662515681713,36.6602687140115,"other_clusters",1742,0.0596015389064971,5.05166475315729,0.556060976775216,31.6086039608542
"S1","COL6A1","candidate_fibroblast_state",1042,2.04150659575357,85.1247600767754,"other_clusters",1742,0.29424577190868,21.2973593570608,1.74726082384489,63.8274007197146
"S1","COL6A2","candidate_fibroblast_state",1042,2.68971853112243,93.8579654510557,"other_clusters",1742,0.482811564178617,31.9173363949483,2.20690696694381,61.9406290561073
"S1","COL6A3","candidate_fibroblast_state",1042,1.37873438196095,69.3857965451056,"other_clusters",1742,0.154248081389198,12.2273249138921,1.22448630057175,57.1584716312135
"S1","CTGF","candidate_fibroblast_state",1042,0.760819285442182,39.9232245681382,"other_clusters",1742,0.320210280848933,17.3938002296211,0.440609004593249,22.5294243385171
"S1","CTHRC1","candidate_fibroblast_state",1042,0.625586038510443,30.5182341650672,"other_clusters",1742,0.0983586981513179,7.29047072330654,0.527227340359125,23.2277634417606
"S1","CXCL1","candidate_fibroblast_state",1042,0.818495647923486,33.5892514395393,"other_clusters",1742,0.247873601606468,17.5086107921929,0.570622046317018,16.0806406473465
"S1","CXCL2","candidate_fibroblast_state",1042,1.5368259725005,55.4702495201535,"other_clusters",1742,0.851941715401006,42.1928817451206,0.684884257099498,13.277367775033
"S1","CXCL3","candidate_fibroblast_state",1042,0.850157556624096,36.852207293666,"other_clusters",1742,0.491803568321173,26.1194029850746,0.358353988302923,10.7328043085914
"S1","CYR61","candidate_fibroblast_state",1042,1.53182355675891,64.2034548944338,"other_clusters",1742,0.521999051606243,28.5304247990815,1.00982450515267,35.6730300953523
"S1","DAG1","candidate_fibroblast_state",1042,0.0985805954506593,7.2936660268714,"other_clusters",1742,0.0452350766051343,4.53501722158439,0.053345518845525,2.75864880528702
"S1","DDIT4","candidate_fibroblast_state",1042,0.671750259150768,37.4280230326296,"other_clusters",1742,0.974608411801972,52.4110218140069,-0.302858152651204,-14.9829987813773
