"seurat_cluster","gene","mean_log_normalized_expression","percent_cells_expressing","cells_in_cluster","paper_marker_class"
"0","MYH11",0.0150555621172782,1.32209980557356,7715,"VSMC"
"0","RERGL",0.00730512719026874,0.609202851587816,7715,"VSMC"
"0","CNN1",0.0106784751259711,1.23136746597537,7715,"VSMC"
"0","BCAM",0.0249708933955765,2.43681140635126,7715,"VSMC"
"0","ACTA2",0.172495140727133,15.800388852884,7715,"VSMC"
"0","RGS5",0.0152064692515539,1.19248217757615,7715,"Pericyte"
"0","STEAP4",0.138091369500761,10.3694102397926,7715,"Pericyte"
"0","MCAM",0.00949406974503768,0.868438107582631,7715,"Pericyte"
"0","PLN",0.00767519607080118,0.686973428386261,7715,"Pericyte"
"0","PDGFRA",0.590086501881795,39.4426441996112,7715,"FB"
"0","CD34",0.685236588927668,42.799740764744,7715,"FB"
"0","APOD",2.20676225814701,62.9423201555412,7715,"FB"
"0","PLA2G2A",1.55969981931862,51.4970836033701,7715,"FB"
"0","FBLN5",0.727563946081652,45.4439403758911,7715,"FB"
"0","OSR2",0.651009268250508,38.9760207388205,7715,"FB"
"0","PDPN",0.196584868681291,16.448476992871,7715,"Myofib"
"0","SCX",0.109348633970449,8.54180168502916,7715,"Myofib"
"0","ADAM12",0.0707526855741216,6.53272845106935,7715,"Myofib"
"0","LOXL2",0.128476256380112,11.2119248217758,7715,"Myofib"
"0","FAP",0.295803489875864,22.0090732339598,7715,"Myofib"
"0","COL1A1",2.4459749755588,78.8593648736228,7715,"Myofib"
"0","COL1A2",3.00546118552186,91.5878159429682,7715,"Myofib"
"0","COL3A1",2.23736925969553,74.9708360337006,7715,"Myofib"
"0","CTHRC1",0.88317838817963,44.3162670123137,7715,"Myofib"
"0","TNFRSF12A",0.202154474051974,15.2041477640959,7715,"Myofib"
"1","MYH11",0.00498357527091256,1.18090452261307,3980,"VSMC"
"1","RERGL",0.00455680611027642,0.879396984924623,3980,"VSMC"
"1","CNN1",0.188960962812576,23.7185929648241,3980,"VSMC"
"1","BCAM",0.00243363831922375,0.678391959798995,3980,"VSMC"
"1","ACTA2",0.798825585655452,62.4874371859297,3980,"VSMC"
"1","RGS5",0.00427613913368737,0.85427135678392,3980,"Pericyte"
"1","STEAP4",0.0255013786390804,2.8391959798995,3980,"Pericyte"
"1","MCAM",0.00509698826416422,1.08040201005025,3980,"Pericyte"
"1","PLN",0.00807160107322519,1.65829145728643,3980,"Pericyte"
"1","PDGFRA",0.300500565103934,34.8743718592965,3980,"FB"
"1","CD34",0.0286536674996185,5.0251256281407,3980,"FB"
"1","APOD",0.0146637196471541,1.4070351758794,3980,"FB"
"1","PLA2G2A",0.187019849645946,11.6331658291457,3980,"FB"
"1","FBLN5",0.180373410870344,23.0150753768844,3980,"FB"
"1","OSR2",0.150557032724479,19.8743718592965,3980,"FB"
"1","PDPN",1.26155640887436,84.2462311557789,3980,"Myofib"
"1","SCX",1.6252913340722,82.7638190954774,3980,"Myofib"
"1","ADAM12",1.43015971353525,84.6984924623116,3980,"Myofib"
"1","LOXL2",1.23826413422561,82.3366834170854,3980,"Myofib"
"1","FAP",0.937771951741764,74.5226130653266,3980,"Myofib"
"1","COL1A1",5.44341446381394,99.7738693467337,3980,"Myofib"
"1","COL1A2",5.0232956524239,99.9497487437186,3980,"Myofib"
"1","COL3A1",4.84138489593733,99.9246231155779,3980,"Myofib"
"1","CTHRC1",3.03243544291086,98.1407035175879,3980,"Myofib"
"1","TNFRSF12A",1.052394927879,73.391959798995,3980,"Myofib"
"2","MYH11",2.24519375783401,87.285029602481,3547,"VSMC"
"2","RERGL",2.75757613763626,88.6664787144065,3547,"VSMC"
"2","CNN1",1.01480325089467,54.3557936284184,3547,"VSMC"
"2","BCAM",2.15586390541973,88.9202142655765,3547,"VSMC"
"2","ACTA2",4.30865835291706,99.0132506343389,3547,"VSMC"
"2","RGS5",1.22191863329687,47.5049337468283,3547,"Pericyte"
"2","STEAP4",0.0329922062075711,2.0862700873978,3547,"Pericyte"
"2","MCAM",1.35637642096854,67.5500422892585,3547,"Pericyte"
"2","PLN",1.95760487491184,81.420919086552,3547,"Pericyte"
"2","PDGFRA",0.00339866567775042,0.33831406822667,3547,"FB"
"2","CD34",0.0300667585921242,2.65012686777558,3547,"FB"
"2","APOD",0.0242508018440554,2.17084860445447,3547,"FB"
"2","PLA2G2A",0.0054627241253354,0.535663941358895,3547,"FB"
"2","FBLN5",0.00332971608734612,0.422892585283338,3547,"FB"
"2","OSR2",0.0553663685917934,4.34169720890894,3547,"FB"
"2","PDPN",0.00237538765907318,0.36650690724556,3547,"Myofib"
"2","SCX",0.00975586932272239,1.12771356075557,3547,"Myofib"
"2","ADAM12",0.00399428378524027,0.479278263321116,3547,"Myofib"
"2","LOXL2",0.0193894768341694,1.77614885819002,3547,"Myofib"
"2","FAP",0.00581482209824978,0.70482097547223,3547,"Myofib"
"2","COL1A1",0.19027128431716,16.5210036650691,3547,"Myofib"
"2","COL1A2",0.292439576409844,24.8942768536792,3547,"Myofib"
"2","COL3A1",0.198201355393178,16.4364251480124,3547,"Myofib"
"2","CTHRC1",0.18788827616445,13.8990696363124,3547,"Myofib"
"2","TNFRSF12A",0.298546760204748,19.7631801522413,3547,"Myofib"
"3","MYH11",0.504239231316207,28.8732394366197,1420,"VSMC"
"3","RERGL",0.0190957161105595,1.33802816901408,1420,"VSMC"
"3","CNN1",0.295597334146106,19.0845070422535,1420,"VSMC"
"3","BCAM",0.436991517718934,28.3802816901408,1420,"VSMC"
"3","ACTA2",2.92304510269645,86.4084507042253,1420,"VSMC"
"3","RGS5",1.81341003578456,57.1830985915493,1420,"Pericyte"
"3","STEAP4",1.30345694705869,62.9577464788732,1420,"Pericyte"
"3","MCAM",0.479555289363848,29.7183098591549,1420,"Pericyte"
