"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"2","VSMC","ADAM12",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-3.76487121909591,-4.35655984936289,-8.73333902742151,0,0,0.479278263321116,0.00399428378524027,NA,NA,"Myofib"
"3","Pericyte","ADAM12",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-3.41740879751112,-3.14372153683934,-5.30591356069368,0.125,0,5.49295774647887,0.054350095117049,0.0208625823327655,0.105570956829622,"Myofib"
"0","FB","COL1A1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",2.22439595504139,2.19127699886303,-1.99342351793992,0.666666666666667,0.666666666666667,78.8593648736228,2.4459749755588,0.0972010883062346,0.164549102943361,"Myofib"
"1","Myofib","COL1A1",3,"DD1;DD2;DD3",2.66403743789253,2.46081893267798,1.67310042323085,1,1,99.7738693467337,5.44341446381394,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","COL1A1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.54555517961594,-6.56307809651316,-10.8082533571627,0,0,16.5210036650691,0.19027128431716,0.00915168885265007,0.0268965973563124,"Myofib"
"3","Pericyte","COL1A1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-2.32959966303897,-3.03281149433601,-5.42314176301196,0,0,52.7464788732394,1.28371659651824,0.0142661867014469,0.0990762069541866,"Myofib"
"0","FB","COL1A2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.46522599489059,2.67089785502911,-1.38401614235777,0.777777777777778,0.777777777777778,91.5878159429682,3.00546118552186,0.0440109840129514,0.0916513669814915,"Myofib"
"1","Myofib","COL1A2",3,"DD1;DD2;DD3",2.11083368756134,1.87864014975518,1.17609360510282,1,1,99.9497487437186,5.0232956524239,0.18144920772142,0.288215063359144,"Myofib"
"2","VSMC","COL1A2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.02287121315703,-5.71586917635366,-7.23112417985189,0,0,24.8942768536792,0.292439576409844,0.00915168885265007,0.0268965973563124,"Myofib"
"3","Pericyte","COL1A2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-2.56260424239249,-2.61549966757305,-3.90969825710855,0,0,65.5633802816901,1.67365996583444,0.0142661867014469,0.0990762069541866,"Myofib"
"0","FB","COL3A1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",2.67262662003849,2.5393568318322,-1.52008698402592,0.777777777777778,0.777777777777778,74.9708360337006,2.23736925969553,0.0440109840129514,0.0916513669814915,"Myofib"
"1","Myofib","COL3A1",3,"DD1;DD2;DD3",2.20726103318554,1.88245389161176,1.09010103383052,1,1,99.9246231155779,4.84138489593733,0.18144920772142,0.288215063359144,"Myofib"
