"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr"
"0","FB","CXCL14",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",9.97262496603838,9.22835178074171,4.67872675158925,1,1,78.2242384964355,3.0037380346119,0.00915168885265016,0.0417538937388919
"0","FB","APOD",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",9.69128058930245,10.4744730977019,8.68994968914467,1,1,62.9423201555412,2.20676225814701,0.00915168885265016,0.0417538937388919
"0","FB","PLA2G2A",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",8.03711738311153,7.84941958030995,4.21254065135712,1,1,51.4970836033701,1.55969981931862,0.00915168885265016,0.0417538937388919
"0","FB","SCARA5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.77047252557881,7.50579487320572,5.83316429284134,1,1,41.0369410239793,0.70444422857322,0.00915168885265016,0.0417538937388919
"0","FB","ITM2A",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.73939715203196,6.53342272455551,2.44816332571967,1,1,48.5158781594297,0.900952922528415,0.00915168885265016,0.0417538937388919
"0","FB","MGST1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.65170149894375,7.81420514610675,6.43618020311058,1,1,44.3940375891121,0.777404256155682,0.00915168885265016,0.0417538937388919
"0","FB","PTGDS",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.2612963044814,6.85682593018391,3.31610792170141,1,1,15.5152300712897,0.375394739660045,0.00915168885265016,0.0417538937388919
"0","FB","PI16",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.16631509599183,7.29932800875723,5.75487565057361,1,1,23.4607906675308,0.435734684108457,0.00915168885265016,0.0417538937388919
"0","FB","MFAP5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.15562438082885,7.47394234211821,3.25096836420115,1,1,57.0836033700583,1.27856885036986,0.00915168885265016,0.0417538937388919
"0","FB","SLPI",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.07904419626659,6.6767727414943,4.87625112434538,1,1,11.8081659105638,0.196973092880587,0.00915168885265016,0.0417538937388919
"0","FB","FGL2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.97312116069609,7.12281012477056,6.50639248850761,1,1,33.8690861957226,0.536469401451623,0.00915168885265016,0.0417538937388919
"0","FB","CFD",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.94750091878664,6.79136812450022,5.17055231952698,1,1,89.2546986390149,3.91035386468176,0.00915168885265016,0.0417538937388919
"0","FB","C3",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.83643557224658,7.37939460378436,4.80578377027745,1,1,40.8684381075826,0.854948399582572,0.00915168885265016,0.0417538937388919
"0","FB","FGFBP2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.80341725919992,6.97888643902141,5.40462725897866,1,1,12.4821775761504,0.240974813331606,0.00915168885265016,0.0417538937388919
"0","FB","SFRP2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.69517356554824,5.84513147079558,2.0713206144036,1,1,50.6675307841867,1.19641134549293,0.00915168885265016,0.0417538937388919
"0","FB","PRG4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.66349148783143,6.7320755885736,4.02288535772906,1,1,17.7057679844459,0.428499399914459,0.00915168885265016,0.0417538937388919
"0","FB","C7",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.62853456317222,6.29006745867174,3.54311597135914,1,1,19.9351911860013,0.455403792543615,0.00915168885265016,0.0417538937388919
"0","FB","FAM180B",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.61439589086992,6.12387132756954,3.52434768344043,1,1,28.6066104990279,0.426531409665937,0.00915168885265016,0.0417538937388919
"0","FB","PTGFR",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.60303628905696,6.13473857386448,3.07573335337738,1,1,35.6966947504861,0.558310322668421,0.00915168885265016,0.0417538937388919
"0","FB","FBLN1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.59672252094774,5.55288239622744,1.17791146647232,1,1,86.7530784186649,2.6538505079574,0.00915168885265016,0.0417538937388919
"0","FB","MYOC",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.58893200112521,7.13931524880878,4.07621900832762,1,1,32.7414128321452,0.832398100498256,0.00915168885265016,0.0417538937388919
"0","FB","DCN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.57265303860849,6.38907317391045,2.19070007389064,1,1,97.9261179520415,4.53213524319683,0.00915168885265016,0.0417538937388919
"0","FB","VIT",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.45830398728162,6.94021323379745,5.84501824217383,1,1,29.3065456902139,0.436037163230429,0.00915168885265016,0.0417538937388919
"0","FB","GDF10",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.41465251052723,6.54427409425881,5.10899279033398,1,1,30.1360985093973,0.469487156526495,0.00915168885265016,0.0417538937388919
"0","FB","IGF1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.31367624773378,5.29873901886155,0.843044519001475,1,1,35.3856124432923,0.612700223734331,0.00915168885265016,0.0417538937388919
"0","FB","LAMA2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.23506965852214,5.07033421135369,0.536225055743965,1,1,23.0848995463383,0.311818849285821,0.00915168885265016,0.0417538937388919
"0","FB","HTRA3",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.20125414190419,5.41124502496202,1.46893294504796,1,1,34.8152948801037,0.56618479543132,0.00915168885265016,0.0417538937388919
"0","FB","ABCA8",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.14467075695416,6.29994394313575,4.99441447799764,1,1,36.1633182112767,0.643023798740753,0.00915168885265016,0.0417538937388919
