"gene","module","step08C2_support","step08C2_interpretation","step10B_role","gene_original","effect_log2","average_expression","t","p_value","q_genome","contrast","present_after_variance_filter","q_candidate"
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","LIMK1",0.0257879716792437,3.96216169897745,3.08780793923508,0.0135609166059208,0.0655355291130523,"tead_main_effect",TRUE,0.0226015276765346
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CNN2",-0.196070059362961,3.88494612862186,-16.5619258952443,7.30785120008871e-08,2.07908366642524e-05,"tead_main_effect",TRUE,1.09617768001331e-06
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate","CDC42",-0.0321415907427847,3.99110343777552,-3.55563084692654,0.00654010640461195,0.038652684735853,"tead_main_effect",TRUE,0.0163502660115299
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate","PIEZO2",-0.0237472668421121,3.8129883012848,-0.897499976353141,0.393691109741724,0.569351183334636,"tead_main_effect",TRUE,0.454258972778913
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate","TMEM63B",0.0611723154886383,3.77100003503574,5.20975320003585,0.000627946521890379,0.00735397129717043,"tead_main_effect",TRUE,0.00284598779759071
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate","PANX1",-0.0403638768416135,3.70552875971427,-2.34861168672301,0.0444265292581145,0.151088656077524,"tead_main_effect",TRUE,0.0599198313591367
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate","NF2",-0.0721693330971853,3.73632918309438,-5.06488999406436,0.000758930079357522,0.00835988333743556,"tead_main_effect",TRUE,0.00284598779759071
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate","TEAD1",-0.0649443600649116,3.96849299741764,-3.18079880759639,0.0117093267916887,0.0589251605335943,"tead_main_effect",TRUE,0.0219549877344164
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGAV",-0.0629467068369829,4.01274082084721,-1.71036854469434,0.122643585326958,0.613813103269681,"tgfb_x_tead_interaction",TRUE,0.241092003345581
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate","ITGB1",-0.0722765774430734,4.19865270820813,-1.16645621604306,0.274510871472019,0.70599480139005,"tgfb_x_tead_interaction",TRUE,0.457518119120031
