"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size","identity_rank_within_sample","myofib_minus_best_other"
"SF3","SF","Uninjured",3,"Pericyte","cell_cycle",-0.437453800380082,12,42138.6339430442,2,NA
"DD1","DD","DD",0,"FB","ecm_remodeling",0.324408967405887,831,2349260.25251866,2,0.446259062120316
"DD1","DD","DD",1,"Myofib","ecm_remodeling",0.770668029526203,106,833504.751771542,1,0.446259062120316
"DD1","DD","DD",2,"VSMC","ecm_remodeling",-1.05670764292762,512,1406122.42818261,4,0.446259062120316
"DD1","DD","DD",3,"Pericyte","ecm_remodeling",-0.136691995443958,487,1491281.66749562,3,0.446259062120316
"DD2","DD","DD",0,"FB","ecm_remodeling",0.638223027770092,1426,7157699.18649563,2,0.255591535513826
"DD2","DD","DD",1,"Myofib","ecm_remodeling",0.893814563283918,2216,22181565.6436082,1,0.255591535513826
"DD2","DD","DD",2,"VSMC","ecm_remodeling",-0.696410085027345,331,1090646.38574983,4,0.255591535513826
"DD2","DD","DD",3,"Pericyte","ecm_remodeling",0.35336154327107,284,999385.800593251,3,0.255591535513826
"DD3","DD","DD",0,"FB","ecm_remodeling",0.462026530224578,568,1923766.15659188,2,0.461623989185841
"DD3","DD","DD",1,"Myofib","ecm_remodeling",0.923650519410419,1640,13512556.3900719,1,0.461623989185841
"DD3","DD","DD",2,"VSMC","ecm_remodeling",-0.709184145922852,389,1178850.46591961,4,0.461623989185841
"DD3","DD","DD",3,"Pericyte","ecm_remodeling",0.420330387341036,337,1138632.08827108,3,0.461623989185841
"Dermis1","Dermis","Uninjured",0,"FB","ecm_remodeling",0.215790121125667,1765,5467424.98379701,1,NA
"Dermis1","Dermis","Uninjured",2,"VSMC","ecm_remodeling",-0.949244304393213,862,2294646.63582506,3,NA
"Dermis1","Dermis","Uninjured",3,"Pericyte","ecm_remodeling",-0.465474851047698,51,90889.2168124495,2,NA
"Dermis2","Dermis","Uninjured",0,"FB","ecm_remodeling",0.509375903406883,283,606645.954668903,2,0.839712837420227
"Dermis2","Dermis","Uninjured",1,"Myofib","ecm_remodeling",1.34908874082711,4,12361.6082313419,1,0.839712837420227
"Dermis2","Dermis","Uninjured",2,"VSMC","ecm_remodeling",-0.662457662595169,171,366509.533865956,4,0.839712837420227
"Dermis2","Dermis","Uninjured",3,"Pericyte","ecm_remodeling",-0.322766782681165,64,95019.1624545057,3,0.839712837420227
"Dermis3","Dermis","Uninjured",0,"FB","ecm_remodeling",0.467482986651884,389,1614383.17757474,1,NA
"Dermis3","Dermis","Uninjured",2,"VSMC","ecm_remodeling",-0.969922721667286,652,2128434.59444131,3,NA
"Dermis3","Dermis","Uninjured",3,"Pericyte","ecm_remodeling",-0.538078994097356,25,43085.4678852978,2,NA
"SF1","SF","Uninjured",0,"FB","ecm_remodeling",-0.137954840559229,1199,5729864.87756597,2,0.426482431888073
"SF1","SF","Uninjured",1,"Myofib","ecm_remodeling",0.288527591328844,1,3176.06799447985,1,0.426482431888073
"SF1","SF","Uninjured",2,"VSMC","ecm_remodeling",-1.08432341703942,367,1665579.15998533,4,0.426482431888073
"SF1","SF","Uninjured",3,"Pericyte","ecm_remodeling",-0.487734525300291,107,390347.360296792,3,0.426482431888073
"SF2","SF","Uninjured",0,"FB","ecm_remodeling",0.509768686643962,885,6504502.65085137,2,0.433712209034933
"SF2","SF","Uninjured",1,"Myofib","ecm_remodeling",0.943480895678895,13,68914.7910862474,1,0.433712209034933
"SF2","SF","Uninjured",2,"VSMC","ecm_remodeling",-0.510829395585624,198,1505244.5691408,4,0.433712209034933
"SF2","SF","Uninjured",3,"Pericyte","ecm_remodeling",0.140740282492514,53,214217.450766183,3,0.433712209034933
"SF3","SF","Uninjured",0,"FB","ecm_remodeling",0.299068044120192,369,2290169.69525231,1,NA
"SF3","SF","Uninjured",2,"VSMC","ecm_remodeling",-0.673623044010984,65,443972.448860167,3,NA
"SF3","SF","Uninjured",3,"Pericyte","ecm_remodeling",-0.108402412209954,12,42138.6339430442,2,NA
"DD1","DD","DD",0,"FB","hippo_yap_taz",-0.268713035959381,831,2349260.25251866,3,-0.349340607965851
"DD1","DD","DD",1,"Myofib","hippo_yap_taz",-0.357376125302823,106,833504.751771542,4,-0.349340607965851
"DD1","DD","DD",2,"VSMC","hippo_yap_taz",-0.0748441829009146,512,1406122.42818261,2,-0.349340607965851
"DD1","DD","DD",3,"Pericyte","hippo_yap_taz",-0.00803551733697211,487,1491281.66749562,1,-0.349340607965851
"DD2","DD","DD",0,"FB","hippo_yap_taz",-0.0322613847673478,1426,7157699.18649563,3,-0.285979333794222
"DD2","DD","DD",1,"Myofib","hippo_yap_taz",-0.128569474408284,2216,22181565.6436082,4,-0.285979333794222
"DD2","DD","DD",2,"VSMC","hippo_yap_taz",0.056252662622819,331,1090646.38574983,2,-0.285979333794222
"DD2","DD","DD",3,"Pericyte","hippo_yap_taz",0.157409859385938,284,999385.800593251,1,-0.285979333794222
"DD3","DD","DD",0,"FB","hippo_yap_taz",-0.182597182470808,568,1923766.15659188,4,-0.181272337198072
"DD3","DD","DD",1,"Myofib","hippo_yap_taz",0.000648129638272821,1640,13512556.3900719,3,-0.181272337198072
"DD3","DD","DD",2,"VSMC","hippo_yap_taz",0.0352003327028312,389,1178850.46591961,2,-0.181272337198072
