"module","gene","step06_candidate_tier","myofib_percent_cells_expressing","myofib_mean_log_normalized_expression","DD_samples","median_Myofib_minus_FB","minimum_Myofib_minus_FB","positive_fraction_vs_FB","median_Myofib_minus_VSMC","minimum_Myofib_minus_VSMC","positive_fraction_vs_VSMC","median_Myofib_minus_Pericyte","minimum_Myofib_minus_Pericyte","positive_fraction_vs_Pericyte","minimum_difference_over_all_donors_and_identities","specificity_class"
"actomyosin_rho","RAC1","B_partial_support",94.4472361809045,1.77930378984188,3,0.0347834712395407,0.0205347782227747,1,-0.0725684999530056,-0.107970281110065,0,-0.226764419480455,-0.291861182310873,0,-0.291861182310873,"robust_over_FB_but_not_all_identities"
"mechanosensor_channels","PKD2","A_consistent_DD_myofib_enrichment",35.7537688442211,0.296008604093436,3,0.629495413057565,0.537353332896445,1,1.24051845238296,0.676187185384459,1,0.443483736656924,-0.379671993092543,0.666666666666667,-0.379671993092543,"robust_over_FB_but_not_all_identities"
"integrin_focal_adhesion","ILK","A_consistent_DD_myofib_enrichment",80.8040201005025,1.04078866919359,3,0.70278671900491,0.624081279866592,1,-0.409332940064587,-0.443819903164526,0,0.545759673077445,0.251139306352078,1,-0.443819903164526,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","TPM1","A_consistent_DD_myofib_enrichment",94.4974874371859,2.18118998172267,3,2.06441943550512,1.56793443800171,1,-0.424094001583745,-0.524536067177015,0,0.453629507383939,-0.151620865862897,0.666666666666667,-0.524536067177015,"robust_over_FB_but_not_all_identities"
"hippo_yap_taz","TEAD4","B_partial_support",6.48241206030151,0.047538592423172,3,1.84439147410534,1.053402921485,1,-0.391338902604689,-0.568952960715139,0.333333333333333,-0.697047922561852,-0.997437493959862,0.333333333333333,-0.997437493959862,"robust_over_FB_but_not_all_identities"
"integrin_focal_adhesion","VCL","A_consistent_DD_myofib_enrichment",53.4924623115578,0.488499779462309,3,0.564535640203975,0.154973442110597,1,-0.340429371131957,-1.00029060964078,0,-0.69612826131337,-0.732373455114569,0,-1.00029060964078,"robust_over_FB_but_not_all_identities"
"integrin_focal_adhesion","ITGA8","A_consistent_DD_myofib_enrichment",41.6582914572864,0.373860017300772,3,3.14412291165826,2.14662204041668,1,0.0836572879322857,-1.24016414815096,0.666666666666667,2.67425596684029,1.35914048331937,1,-1.24016414815096,"robust_over_FB_but_not_all_identities"
"integrin_focal_adhesion","TLN1","B_partial_support",58.2914572864322,0.563394933534653,3,0.166054592276525,0.0194329761900081,1,-1.40789213267614,-1.42202707397311,0,-0.576671871931227,-0.849657799693315,0,-1.42202707397311,"robust_over_FB_but_not_all_identities"
"hippo_yap_taz","TEAD3","A_consistent_DD_myofib_enrichment",14.0452261306533,0.101063619212271,3,1.01221055841544,0.734722358904817,1,-1.02767531633449,-1.83946575882765,0,-0.358237193496557,-1.66559138706965,0,-1.83946575882765,"robust_over_FB_but_not_all_identities"
"actomyosin_rho","TAGLN","A_consistent_DD_myofib_enrichment",87.7386934673367,2.37317235360422,3,2.91677917896867,2.53210551921549,1,-2.45177149442632,-2.89836436882326,0,-1.31967656405359,-2.44893096268562,0,-2.89836436882326,"robust_over_FB_but_not_all_identities"
