"gene","sample","comparator_identity","myofib_log2CPM","comparator_log2CPM","myofib_minus_comparator_log2CPM"
"CNN1","DD1","FB",5.43418686229574,1.51051359225816,3.92367327003759
"CNN1","DD1","VSMC",5.43418686229574,8.82006123313925,-3.38587437084351
"CNN1","DD1","Pericyte",5.43418686229574,7.03619441055985,-1.60200754826411
"CNN1","DD2","FB",5.27412236835779,2.20315695449752,3.07096541386027
"CNN1","DD2","VSMC",5.27412236835779,8.35975866946165,-3.08563630110386
"CNN1","DD2","Pericyte",5.27412236835779,5.75831513304892,-0.484192764691131
"CNN1","DD3","FB",4.8991228533958,0.593572486082806,4.30555036731299
"CNN1","DD3","VSMC",4.8991228533958,9.21321068453838,-4.31408783114258
"CNN1","DD3","Pericyte",4.8991228533958,6.32171460676941,-1.42259175337361
"ITGA8","DD1","FB",5.12723608886884,1.74343884542044,3.3837972434484
"ITGA8","DD1","VSMC",5.12723608886884,6.36740023701981,-1.24016414815096
"ITGA8","DD1","Pericyte",5.12723608886884,3.76809560554947,1.35914048331937
"ITGA8","DD2","FB",6.07559389251644,2.93147098085818,3.14412291165826
"ITGA8","DD2","VSMC",6.07559389251644,5.78219036442937,0.293403528087078
"ITGA8","DD2","Pericyte",6.07559389251644,2.76211301453075,3.31348087798569
"ITGA8","DD3","FB",6.08232757130339,3.93570553088671,2.14662204041668
"ITGA8","DD3","VSMC",6.08232757130339,5.9986702833711,0.0836572879322857
"ITGA8","DD3","Pericyte",6.08232757130339,3.40807160446309,2.67425596684029
"TAGLN","DD1","FB",10.5437523236806,7.62697314471196,2.91677917896867
"TAGLN","DD1","VSMC",10.5437523236806,13.4421166925039,-2.89836436882326
"TAGLN","DD1","Pericyte",10.5437523236806,12.9926832863663,-2.44893096268562
"TAGLN","DD2","FB",10.7968718049609,7.4207277166739,3.376144088287
"TAGLN","DD2","VSMC",10.7968718049609,13.2486432993872,-2.45177149442632
"TAGLN","DD2","Pericyte",10.7968718049609,12.1165483690145,-1.31967656405359
"TAGLN","DD3","FB",11.2664269816933,8.73432146247783,2.53210551921549
"TAGLN","DD3","VSMC",11.2664269816933,13.261818165468,-1.99539118377464
"TAGLN","DD3","Pericyte",11.2664269816933,12.1396812014848,-0.873254219791498
"ACTA2","DD1","FB",9.58361187541978,5.94095098497932,3.64266089044046
"ACTA2","DD1","VSMC",9.58361187541978,13.4344899968973,-3.85087812147754
"ACTA2","DD1","Pericyte",9.58361187541978,12.4178424456479,-2.83423057022812
"ACTA2","DD2","FB",8.4040307979464,6.00822202962582,2.39580876832058
"ACTA2","DD2","VSMC",8.4040307979464,12.8203896778645,-4.41635887991814
"ACTA2","DD2","Pericyte",8.4040307979464,11.5388355873036,-3.13480478935723
"ACTA2","DD3","FB",8.60916975776147,6.40687490864765,2.20229484911382
"ACTA2","DD3","VSMC",8.60916975776147,12.9639141889688,-4.35474443120735
"ACTA2","DD3","Pericyte",8.60916975776147,10.8716968812425,-2.26252712348102
"TPM1","DD1","FB",10.1037515746878,8.53581713668605,1.56793443800171
"TPM1","DD1","VSMC",10.1037515746878,10.6282876418648,-0.524536067177015
"TPM1","DD1","Pericyte",10.1037515746878,10.2553724405507,-0.151620865862897
"TPM1","DD2","FB",10.2021614125095,8.13774197700435,2.06441943550512
"TPM1","DD2","VSMC",10.2021614125095,10.5082874060806,-0.306125993571094
"TPM1","DD2","Pericyte",10.2021614125095,9.74853190512553,0.453629507383939
"TPM1","DD3","FB",10.2714149238373,8.1948013176245,2.07661360621282
"TPM1","DD3","VSMC",10.2714149238373,10.6955089254211,-0.424094001583745
"TPM1","DD3","Pericyte",10.2714149238373,9.27236734998782,0.999047573849507
"TPM2","DD1","FB",8.89433818566499,6.85646554222504,2.03787264343995
"TPM2","DD1","VSMC",8.89433818566499,11.8620558264588,-2.96771764079379
"TPM2","DD1","Pericyte",8.89433818566499,10.4188265550762,-1.52448836941119
"TPM2","DD2","FB",9.35100319609213,6.67985511796878,2.67114807812335
"TPM2","DD2","VSMC",9.35100319609213,11.9401157054214,-2.58911250932928
"TPM2","DD2","Pericyte",9.35100319609213,10.2259177652757,-0.874914569183527
"TPM2","DD3","FB",9.08674418615673,7.23338861461237,1.85335557154436
"TPM2","DD3","VSMC",9.08674418615673,12.1161807456272,-3.02943655947044
"TPM2","DD3","Pericyte",9.08674418615673,10.1830611491066,-1.09631696294983
"ITGB1","DD1","FB",10.0681429219572,8.24743917737972,1.82070374457751
"ITGB1","DD1","VSMC",10.0681429219572,8.72718373149801,1.34095919045922
"ITGB1","DD1","Pericyte",10.0681429219572,9.06636784780135,1.00177507415588
"ITGB1","DD2","FB",10.6239471361649,8.17671350100461,2.44723363516027
"ITGB1","DD2","VSMC",10.6239471361649,8.75340635416312,1.87054078200176
"ITGB1","DD2","Pericyte",10.6239471361649,8.91936348055517,1.70458365560971
"ITGB1","DD3","FB",10.898733354337,8.92608195810408,1.97265139623291
"ITGB1","DD3","VSMC",10.898733354337,9.35491971746334,1.54381363687365
"ITGB1","DD3","Pericyte",10.898733354337,9.45989909617132,1.43883425816567
"ITGAV","DD1","FB",7.32050681230896,5.98417331338533,1.33633349892363
"ITGAV","DD1","VSMC",7.32050681230896,4.08377804313472,3.23672876917424
"ITGAV","DD1","Pericyte",7.32050681230896,4.97764176108351,2.34286505122545
"ITGAV","DD2","FB",7.85382040566254,6.2371533036515,1.61666710201104
"ITGAV","DD2","VSMC",7.85382040566254,5.25414713538149,2.59967327028105
"ITGAV","DD2","Pericyte",7.85382040566254,5.49089532170608,2.36292508395645
"ITGAV","DD3","FB",7.67486786263241,6.35725289407251,1.3176149685599
"ITGAV","DD3","VSMC",7.67486786263241,5.3988138561923,2.27605400644011
"ITGAV","DD3","Pericyte",7.67486786263241,5.68220461778289,1.99266324484952
"BCAR1","DD1","FB",5.69853074060114,3.99067907433441,1.70785166626673
"BCAR1","DD1","VSMC",5.69853074060114,5.03053232755028,0.667998413050867
"BCAR1","DD1","Pericyte",5.69853074060114,5.32935736730894,0.3691733732922
"BCAR1","DD2","FB",5.73812476661086,4.96733525133226,0.770789515278601
"BCAR1","DD2","VSMC",5.73812476661086,5.21485117578474,0.523273590826121
"BCAR1","DD2","Pericyte",5.73812476661086,5.93087455537221,-0.192749788761355
"BCAR1","DD3","FB",6.43471890603494,5.18134694299199,1.25337196304295
"BCAR1","DD3","VSMC",6.43471890603494,5.35099309427338,1.08372581176157
"BCAR1","DD3","Pericyte",6.43471890603494,5.43548265961152,0.999236246423425
"PIEZO2","DD1","FB",5.69749366471972,4.46184926399859,1.23564440072114
"PIEZO2","DD1","VSMC",5.69749366471972,0.0560891167690671,5.64140454795066
"PIEZO2","DD1","Pericyte",5.69749366471972,2.11857458697813,3.57891907774159
"PIEZO2","DD2","FB",5.25080855579111,4.52281447429522,0.727994081495894
"PIEZO2","DD2","VSMC",5.25080855579111,-1,6.25080855579111
"PIEZO2","DD2","Pericyte",5.25080855579111,2.89521590415818,2.35559265163293
"PIEZO2","DD3","FB",5.45688368370382,4.18510717845396,1.27177650524987
"PIEZO2","DD3","VSMC",5.45688368370382,-1,6.45688368370382
"PIEZO2","DD3","Pericyte",5.45688368370382,2.31591125175147,3.14097243195236
"TEAD2","DD1","FB",5.03715283228435,3.6748934293546,1.36225940292975
"TEAD2","DD1","VSMC",5.03715283228435,5.00028718105192,0.0368656512324241
"TEAD2","DD1","Pericyte",5.03715283228435,5.17753418271444,-0.140381350430087
"TEAD2","DD2","FB",5.42325415743883,4.52333511079265,0.899919046646186
"TEAD2","DD2","VSMC",5.42325415743883,4.65038348531488,0.77287067212395
"TEAD2","DD2","Pericyte",5.42325415743883,5.13745707285613,0.285797084582704
"TEAD2","DD3","FB",5.2311481459638,4.01221883835461,1.21892930760919
"TEAD2","DD3","VSMC",5.2311481459638,4.59209713125371,0.639051014710087
"TEAD2","DD3","Pericyte",5.2311481459638,5.24608344299726,-0.014935297033456
"LIMK1","DD1","FB",3.99276766987349,3.75794527894616,0.234822390927329
"LIMK1","DD1","VSMC",3.99276766987349,-1,4.99276766987349
"LIMK1","DD1","Pericyte",3.99276766987349,1.87659849919247,2.11616917068101
"LIMK1","DD2","FB",5.06464551180786,3.37934692079256,1.6852985910153
"LIMK1","DD2","VSMC",5.06464551180786,1.71026406901148,3.35438144279638
"LIMK1","DD2","Pericyte",5.06464551180786,0.913520085349827,4.15112542645803
