"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"Dermis2","Dermis","0","FB",283,"TPM2",21.2014134275618,0.351615403859865
"Dermis2","Dermis","0","FB",283,"ITGB1",55.8303886925795,1.2377146036905
"Dermis2","Dermis","0","FB",283,"ITGAV",9.89399293286219,0.158991887122425
"Dermis2","Dermis","0","FB",283,"BCAR1",2.82685512367491,0.0477557828741556
"Dermis2","Dermis","0","FB",283,"PIEZO2",2.12014134275618,0.0446272714016025
"Dermis2","Dermis","0","FB",283,"TEAD2",1.06007067137809,0.0139784982698445
"Dermis2","Dermis","0","FB",283,"LIMK1",1.76678445229682,0.0369329299315437
"Dermis2","Dermis","0","FB",283,"CNN2",15.547703180212,0.259784622650044
"Dermis2","Dermis","0","FB",283,"TEAD3",1.41342756183746,0.0185977950383103
"Dermis2","Dermis","0","FB",283,"PFN1",55.8303886925795,1.09096810472256
"Dermis2","Dermis","0","FB",283,"CFL1",56.8904593639576,1.20345564717517
"Dermis2","Dermis","0","FB",283,"TMEM63B",1.06007067137809,0.0187902802299714
"Dermis2","Dermis","0","FB",283,"ITGA5",8.48056537102473,0.141948009428796
"Dermis2","Dermis","0","FB",283,"MYLK",3.886925795053,0.0515789046061226
"Dermis2","Dermis","0","FB",283,"ILK",20.8480565371025,0.358801240642178
"Dermis2","Dermis","0","FB",283,"MYL9",30.0353356890459,0.512642962217312
"Dermis2","Dermis","0","FB",283,"NF2",4.24028268551237,0.0627642745047284
"Dermis2","Dermis","0","FB",283,"PARVA",14.4876325088339,0.245588360977809
"Dermis2","Dermis","0","FB",283,"PKD2",5.65371024734982,0.0984717820626774
"Dermis2","Dermis","0","FB",283,"VCL",10.6007067137809,0.174115311242829
"Dermis2","Dermis","0","FB",283,"TEAD4",0,0
"Dermis2","Dermis","0","FB",283,"ITGA2",1.06007067137809,0.0159589975932134
"Dermis2","Dermis","0","FB",283,"WWTR1",22.9681978798587,0.435057743939522
"Dermis2","Dermis","0","FB",283,"FLNA",21.9081272084806,0.398069238786515
"Dermis2","Dermis","0","FB",283,"PANX1",1.06007067137809,0.0119935772111132
"Dermis2","Dermis","0","FB",283,"TEAD1",4.59363957597173,0.100277252890536
"Dermis2","Dermis","0","FB",283,"CDC42",50.1766784452297,1.00210408684067
"Dermis2","Dermis","0","FB",283,"FERMT2",20.8480565371025,0.357189792485321
"Dermis2","Dermis","0","FB",283,"TLN1",17.3144876325088,0.298986629031348
"Dermis2","Dermis","0","FB",283,"PKD1",7.42049469964664,0.13854886330018
"Dermis2","Dermis","0","FB",283,"TLN2",5.30035335689046,0.0831935443184604
"Dermis2","Dermis","0","FB",283,"RAC1",54.7703180212014,1.14481408136229
"Dermis2","Dermis","0","FB",283,"YAP1",9.18727915194346,0.176081160302333
"Dermis2","Dermis","0","FB",283,"PIEZO1",2.82685512367491,0.0494774602955874
"Dermis2","Dermis","0","FB",283,"TRPV4",0,0
"Dermis2","Dermis","0","FB",283,"TRPA1",0,0
"Dermis2","Dermis","0","FB",283,"TRPC1",1.76678445229682,0.027132644820074
"Dermis2","Dermis","0","FB",283,"TRPC3",0,0
"Dermis2","Dermis","0","FB",283,"TRPC6",0.706713780918728,0.0105735336315795
"Dermis2","Dermis","0","FB",283,"ASIC1",0,0
"Dermis2","Dermis","0","FB",283,"ASIC2",0,0
"Dermis2","Dermis","0","FB",283,"ASIC3",0,0
"Dermis2","Dermis","0","FB",283,"KCNK2",0.353356890459364,0.00464556182215014
"Dermis2","Dermis","0","FB",283,"KCNK4",0.706713780918728,0.0128420434517525
"Dermis2","Dermis","0","FB",283,"TMEM63A",2.12014134275618,0.0360595450028828
"Dermis2","Dermis","0","FB",283,"TMEM150C",0.706713780918728,0.0158835751945878
"Dermis2","Dermis","0","FB",283,"P2RX4",4.9469964664311,0.0841149544381516
"Dermis2","Dermis","0","FB",283,"P2RX7",2.12014134275618,0.0344211387542559
"Dermis2","Dermis","0","FB",283,"PDPN",8.8339222614841,0.14835752455369
"Dermis2","Dermis","0","FB",283,"SCX",2.82685512367491,0.0405903935922415
"Dermis2","Dermis","0","FB",283,"FAP",12.3674911660777,0.230833777430861
"Dermis2","Dermis","0","FB",283,"POSTN",32.5088339222615,0.828087659980257
"Dermis2","Dermis","0","FB",283,"PDGFRA",37.8091872791519,0.755522904106174
"Dermis2","Dermis","0","FB",283,"APOD",61.13074204947,2.42468145197137
"Dermis3","Dermis","0","FB",389,"CNN1",0,0
"Dermis3","Dermis","0","FB",389,"ITGA8",2.5706940874036,0.0340286811406944
"Dermis3","Dermis","0","FB",389,"TAGLN",12.853470437018,0.209572879553093
"Dermis3","Dermis","0","FB",389,"ACTA2",10.7969151670951,0.127273418599392
"Dermis3","Dermis","0","FB",389,"TPM1",54.4987146529563,0.994528840605351
"Dermis3","Dermis","0","FB",389,"TPM2",34.4473007712082,0.458969981171695
"Dermis3","Dermis","0","FB",389,"ITGB1",68.1233933161954,1.28579042150827
"Dermis3","Dermis","0","FB",389,"ITGAV",17.7377892030848,0.232881284019213
"Dermis3","Dermis","0","FB",389,"BCAR1",9.51156812339332,0.108537953784336
"Dermis3","Dermis","0","FB",389,"PIEZO2",2.5706940874036,0.0285072649740012
"Dermis3","Dermis","0","FB",389,"TEAD2",8.9974293059126,0.0837474000640264
"Dermis3","Dermis","0","FB",389,"LIMK1",2.82776349614396,0.0315084121733452
"Dermis3","Dermis","0","FB",389,"CNN2",28.0205655526992,0.395567151350227
"Dermis3","Dermis","0","FB",389,"TEAD3",8.74035989717224,0.0807995921416163
"Dermis3","Dermis","0","FB",389,"PFN1",77.120822622108,1.56195106178037
"Dermis3","Dermis","0","FB",389,"CFL1",73.0077120822622,1.55270004984842
"Dermis3","Dermis","0","FB",389,"TMEM63B",4.88431876606684,0.0560710803647718
"Dermis3","Dermis","0","FB",389,"ITGA5",21.8508997429306,0.275436391324852
"Dermis3","Dermis","0","FB",389,"MYLK",7.19794344473008,0.0666311256749371
"Dermis3","Dermis","0","FB",389,"ILK",35.4755784061697,0.462542903819717
"Dermis3","Dermis","0","FB",389,"MYL9",46.5295629820051,0.680824926522672
"Dermis3","Dermis","0","FB",389,"NF2",6.16966580976864,0.0667382127311635
"Dermis3","Dermis","0","FB",389,"PARVA",26.4781491002571,0.330891678780218
"Dermis3","Dermis","0","FB",389,"PKD2",11.0539845758355,0.157630387369041
"Dermis3","Dermis","0","FB",389,"VCL",21.3367609254499,0.290318070617242
"Dermis3","Dermis","0","FB",389,"TEAD4",1.54241645244216,0.00923020267607269
"Dermis3","Dermis","0","FB",389,"ITGA2",0,0
"Dermis3","Dermis","0","FB",389,"WWTR1",29.5629820051414,0.397039669527161
"Dermis3","Dermis","0","FB",389,"FLNA",35.9897172236504,0.528828824409475
"Dermis3","Dermis","0","FB",389,"PANX1",1.54241645244216,0.0126974051865903
"Dermis3","Dermis","0","FB",389,"TEAD1",16.1953727506427,0.215822155946373
"Dermis3","Dermis","0","FB",389,"CDC42",63.7532133676092,1.07950345934899
"Dermis3","Dermis","0","FB",389,"FERMT2",25.9640102827763,0.311372067600126
"Dermis3","Dermis","0","FB",389,"TLN1",29.5629820051414,0.362058195377382
"Dermis3","Dermis","0","FB",389,"PKD1",10.7969151670951,0.136391351673628
"Dermis3","Dermis","0","FB",389,"TLN2",12.3393316195373,0.166294579280873
"Dermis3","Dermis","0","FB",389,"RAC1",68.3804627249357,1.20322364202005
"Dermis3","Dermis","0","FB",389,"YAP1",13.3676092544987,0.184419450333766
"Dermis3","Dermis","0","FB",389,"PIEZO1",5.1413881748072,0.0824678785696087
