"gene","omitted_DD_sample","comparator_identity","retained_samples","median_difference_after_omission","minimum_difference_after_omission","all_retained_differences_positive"
"ITGB1","DD3","FB","DD1;DD2",2.13396868986889,1.82070374457751,TRUE
"ITGB1","DD3","VSMC","DD1;DD2",1.60574998623049,1.34095919045922,TRUE
"ITGB1","DD3","Pericyte","DD1;DD2",1.35317936488279,1.00177507415588,TRUE
"ITGAV","DD1","FB","DD2;DD3",1.46714103528547,1.3176149685599,TRUE
"ITGAV","DD1","VSMC","DD2;DD3",2.43786363836058,2.27605400644011,TRUE
"ITGAV","DD1","Pericyte","DD2;DD3",2.17779416440299,1.99266324484952,TRUE
"ITGAV","DD2","FB","DD1;DD3",1.32697423374176,1.3176149685599,TRUE
"ITGAV","DD2","VSMC","DD1;DD3",2.75639138780717,2.27605400644011,TRUE
"ITGAV","DD2","Pericyte","DD1;DD3",2.16776414803748,1.99266324484952,TRUE
"ITGAV","DD3","FB","DD1;DD2",1.47650030046733,1.33633349892363,TRUE
"ITGAV","DD3","VSMC","DD1;DD2",2.91820101972764,2.59967327028105,TRUE
"ITGAV","DD3","Pericyte","DD1;DD2",2.35289506759095,2.34286505122545,TRUE
"BCAR1","DD1","FB","DD2;DD3",1.01208073916078,0.770789515278601,TRUE
"BCAR1","DD1","VSMC","DD2;DD3",0.803499701293844,0.523273590826121,TRUE
"BCAR1","DD1","Pericyte","DD2;DD3",0.403243228831035,-0.192749788761355,FALSE
"BCAR1","DD2","FB","DD1;DD3",1.48061181465484,1.25337196304295,TRUE
"BCAR1","DD2","VSMC","DD1;DD3",0.875862112406217,0.667998413050867,TRUE
"BCAR1","DD2","Pericyte","DD1;DD3",0.684204809857812,0.3691733732922,TRUE
"BCAR1","DD3","FB","DD1;DD2",1.23932059077267,0.770789515278601,TRUE
"BCAR1","DD3","VSMC","DD1;DD2",0.595636001938494,0.523273590826121,TRUE
"BCAR1","DD3","Pericyte","DD1;DD2",0.0882117922654224,-0.192749788761355,FALSE
"PIEZO2","DD1","FB","DD2;DD3",0.999885293372882,0.727994081495894,TRUE
"PIEZO2","DD1","VSMC","DD2;DD3",6.35384611974747,6.25080855579111,TRUE
"PIEZO2","DD1","Pericyte","DD2;DD3",2.74828254179264,2.35559265163293,TRUE
"PIEZO2","DD2","FB","DD1;DD3",1.2537104529855,1.23564440072114,TRUE
"PIEZO2","DD2","VSMC","DD1;DD3",6.04914411582724,5.64140454795066,TRUE
"PIEZO2","DD2","Pericyte","DD1;DD3",3.35994575484697,3.14097243195236,TRUE
"PIEZO2","DD3","FB","DD1;DD2",0.981819241108516,0.727994081495894,TRUE
"PIEZO2","DD3","VSMC","DD1;DD2",5.94610655187089,5.64140454795066,TRUE
"PIEZO2","DD3","Pericyte","DD1;DD2",2.96725586468726,2.35559265163293,TRUE
"TEAD2","DD1","FB","DD2;DD3",1.05942417712769,0.899919046646186,TRUE
"TEAD2","DD1","VSMC","DD2;DD3",0.705960843417018,0.639051014710087,TRUE
"TEAD2","DD1","Pericyte","DD2;DD3",0.135430893774624,-0.014935297033456,FALSE
"TEAD2","DD2","FB","DD1;DD3",1.29059435526947,1.21892930760919,TRUE
"TEAD2","DD2","VSMC","DD1;DD3",0.337958332971255,0.0368656512324241,TRUE
"TEAD2","DD2","Pericyte","DD1;DD3",-0.0776583237317716,-0.140381350430087,FALSE
"TEAD2","DD3","FB","DD1;DD2",1.13108922478797,0.899919046646186,TRUE
"TEAD2","DD3","VSMC","DD1;DD2",0.404868161678187,0.0368656512324241,TRUE
"TEAD2","DD3","Pericyte","DD1;DD2",0.0727078670763084,-0.140381350430087,FALSE
"LIMK1","DD1","FB","DD2;DD3",1.4059698950575,1.1266411990997,TRUE
"LIMK1","DD1","VSMC","DD2;DD3",4.34365552307849,3.35438144279638,TRUE
"LIMK1","DD1","Pericyte","DD2;DD3",3.45973480656402,2.76834418667,TRUE
"LIMK1","DD2","FB","DD1;DD3",0.680731795013513,0.234822390927329,TRUE
"LIMK1","DD2","VSMC","DD1;DD3",5.16284863661705,4.99276766987349,TRUE
"LIMK1","DD2","Pericyte","DD1;DD3",2.44225667867551,2.11616917068101,TRUE
"LIMK1","DD3","FB","DD1;DD2",0.960060490971312,0.234822390927329,TRUE
"LIMK1","DD3","VSMC","DD1;DD2",4.17357455633493,3.35438144279638,TRUE
"LIMK1","DD3","Pericyte","DD1;DD2",3.13364729856952,2.11616917068101,TRUE
"CNN2","DD1","FB","DD2;DD3",0.776277166706955,0.527277418531023,TRUE
"CNN2","DD1","VSMC","DD2;DD3",0.347302925975499,0.246377788581312,TRUE
"CNN2","DD1","Pericyte","DD2;DD3",0.166555280105738,0.125354290794189,TRUE
"CNN2","DD2","FB","DD1;DD3",1.15730993519969,1.02527691488289,TRUE
"CNN2","DD2","VSMC","DD1;DD3",0.307842533514763,0.167457003659838,TRUE
"CNN2","DD2","Pericyte","DD1;DD3",0.412531392399922,0.125354290794189,TRUE
"CNN2","DD3","FB","DD1;DD2",0.908310187023756,0.527277418531023,TRUE
"CNN2","DD3","VSMC","DD1;DD2",0.206917396120575,0.167457003659838,TRUE
"CNN2","DD3","Pericyte","DD1;DD2",0.453732381711471,0.207756269417287,TRUE
"TEAD3","DD1","FB","DD2;DD3",1.16373914358478,1.01221055841544,TRUE
"TEAD3","DD1","VSMC","DD2;DD3",-0.923390045332519,-1.02767531633449,FALSE
"TEAD3","DD1","Pericyte","DD2;DD3",-0.288549312834242,-0.358237193496557,FALSE
"TEAD3","DD2","FB","DD1;DD3",0.87346645866013,0.734722358904817,TRUE
"TEAD3","DD2","VSMC","DD1;DD3",-1.43357053758107,-1.83946575882765,FALSE
"TEAD3","DD2","Pericyte","DD1;DD3",-1.0119142902831,-1.66559138706965,FALSE
"TEAD3","DD3","FB","DD1;DD2",1.02499504382947,0.734722358904817,TRUE
"TEAD3","DD3","VSMC","DD1;DD2",-1.3292852665791,-1.83946575882765,FALSE
"TEAD3","DD3","Pericyte","DD1;DD2",-0.942226409620789,-1.66559138706965,FALSE
"PFN1","DD1","FB","DD2;DD3",0.910010934645176,0.730348696306686,TRUE
"PFN1","DD1","VSMC","DD2;DD3",0.0468849172647863,-0.261668044496115,FALSE
"PFN1","DD1","Pericyte","DD2;DD3",0.801887950036325,0.748821128561854,TRUE
"PFN1","DD2","FB","DD1;DD3",0.801055232597406,0.730348696306686,TRUE
"PFN1","DD2","VSMC","DD1;DD3",0.0869103531455524,-0.261668044496115,FALSE
"PFN1","DD2","Pericyte","DD1;DD3",0.778963492848078,0.748821128561854,TRUE
"PFN1","DD3","FB","DD1;DD2",0.980717470935896,0.871761768888126,TRUE
"PFN1","DD3","VSMC","DD1;DD2",0.395463314906454,0.355437879025688,TRUE
"PFN1","DD3","Pericyte","DD1;DD2",0.832030314322549,0.809105857134302,TRUE
"CFL1","DD1","FB","DD2;DD3",0.783010012899003,0.647943459671165,TRUE
"CFL1","DD1","VSMC","DD2;DD3",0.564413257756838,0.48150827244273,TRUE
"CFL1","DD1","Pericyte","DD2;DD3",0.632207978629969,0.607966961684665,TRUE
"CFL1","DD2","FB","DD1;DD3",0.747998205240984,0.647943459671165,TRUE
"CFL1","DD2","VSMC","DD1;DD3",0.547334849337566,0.48150827244273,TRUE
"CFL1","DD2","Pericyte","DD1;DD3",0.539854711505821,0.42326042743637,TRUE
"CFL1","DD3","FB","DD1;DD2",0.883064758468822,0.848052950810803,TRUE
"CFL1","DD3","VSMC","DD1;DD2",0.630239834651674,0.613161426232402,TRUE
"CFL1","DD3","Pericyte","DD1;DD2",0.515613694560518,0.42326042743637,TRUE
"TMEM63B","DD1","FB","DD2;DD3",0.885005158706836,0.781487812044132,TRUE
"TMEM63B","DD1","VSMC","DD2;DD3",1.85573761290688,1.71569556319147,TRUE
"TMEM63B","DD1","Pericyte","DD2;DD3",0.286351455024047,0.225123747737889,TRUE
"TMEM63B","DD2","FB","DD1;DD3",0.593791806874187,0.406095801704242,TRUE
"TMEM63B","DD2","VSMC","DD1;DD3",1.87863547228569,1.71569556319147,TRUE
"TMEM63B","DD2","Pericyte","DD1;DD3",0.529216132998502,0.225123747737889,TRUE
"TMEM63B","DD3","FB","DD1;DD2",0.697309153536891,0.406095801704242,TRUE
"TMEM63B","DD3","VSMC","DD1;DD2",2.0186775220011,1.99577966262229,TRUE
"TMEM63B","DD3","Pericyte","DD1;DD2",0.590443840284659,0.347579162310204,TRUE
"ITGA5","DD1","FB","DD2;DD3",0.938984427786151,0.770601113596971,TRUE
"ITGA5","DD1","VSMC","DD2;DD3",3.25858344415485,2.94878423044752,TRUE
"ITGA5","DD1","Pericyte","DD2;DD3",1.55585895906937,1.17993126387476,TRUE
"ITGA5","DD2","FB","DD1;DD3",0.810629804274749,0.513891866574166,TRUE
"ITGA5","DD2","VSMC","DD1;DD3",4.051015447035,3.56838265786217,TRUE
"ITGA5","DD2","Pericyte","DD1;DD3",2.49370676033271,1.93178665426397,TRUE
"ITGA5","DD3","FB","DD1;DD2",0.642246490085569,0.513891866574166,TRUE
"ITGA5","DD3","VSMC","DD1;DD2",3.74121623332768,2.94878423044752,TRUE
"ITGA5","DD3","Pericyte","DD1;DD2",2.11777906513811,1.17993126387476,TRUE
"MYLK","DD1","FB","DD2;DD3",0.49726724615444,0.271417781699297,TRUE
"MYLK","DD1","VSMC","DD2;DD3",-4.22609167960073,-4.65466182461732,FALSE
"MYLK","DD1","Pericyte","DD2;DD3",-3.56757481147359,-4.53954634794548,FALSE
"MYLK","DD2","FB","DD1;DD3",0.780029110314417,0.723116710609583,TRUE
"MYLK","DD2","VSMC","DD1;DD3",-3.64654280486978,-3.79752153458414,FALSE
"MYLK","DD2","Pericyte","DD1;DD3",-3.01829409468575,-3.44098491436979,FALSE
"MYLK","DD3","FB","DD1;DD2",0.554179645859274,0.271417781699297,TRUE
"MYLK","DD3","VSMC","DD1;DD2",-4.07511294988637,-4.65466182461732,FALSE
"MYLK","DD3","Pericyte","DD1;DD2",-3.99026563115764,-4.53954634794548,FALSE
"ILK","DD1","FB","DD2;DD3",0.730234362351635,0.70278671900491,TRUE
"ILK","DD1","VSMC","DD2;DD3",-0.374434474505841,-0.409332940064587,FALSE
"ILK","DD1","Pericyte","DD2;DD3",0.590790909478153,0.545759673077445,TRUE
"ILK","DD2","FB","DD1;DD3",0.690881642782476,0.624081279866592,TRUE
"ILK","DD2","VSMC","DD1;DD3",-0.426576421614556,-0.443819903164526,FALSE
"ILK","DD2","Pericyte","DD1;DD3",0.44348072611547,0.251139306352078,TRUE
"ILK","DD3","FB","DD1;DD2",0.663433999435751,0.624081279866592,TRUE
"ILK","DD3","VSMC","DD1;DD2",-0.391677956055811,-0.443819903164526,FALSE
"ILK","DD3","Pericyte","DD1;DD2",0.398449489714761,0.251139306352078,TRUE
"MYL9","DD1","FB","DD2;DD3",0.730930987629244,0.577633808258348,TRUE
"MYL9","DD1","VSMC","DD2;DD3",-3.20476502034905,-3.34559594487224,FALSE
"MYL9","DD1","Pericyte","DD2;DD3",-1.85834755444462,-1.98891318526911,FALSE
"MYL9","DD2","FB","DD1;DD3",0.784950248076829,0.685672329153517,TRUE
"MYL9","DD2","VSMC","DD1;DD3",-3.23281293376953,-3.40169177171319,FALSE
"MYL9","DD2","Pericyte","DD1;DD3",-2.12603649156381,-2.52429105950747,FALSE
"MYL9","DD3","FB","DD1;DD2",0.631653068705933,0.577633808258348,TRUE
"MYL9","DD3","VSMC","DD1;DD2",-3.37364385829272,-3.40169177171319,FALSE
"MYL9","DD3","Pericyte","DD1;DD2",-2.25660212238829,-2.52429105950747,FALSE
"NF2","DD1","FB","DD2;DD3",0.8116169115674,0.676269203039121,TRUE
"NF2","DD1","VSMC","DD2;DD3",1.61921243060409,1.4237377202184,TRUE
"NF2","DD1","Pericyte","DD2;DD3",0.882124647700315,0.533221082259383,TRUE
"NF2","DD2","FB","DD1;DD3",0.673026403085875,0.66978360313263,TRUE
"NF2","DD2","VSMC","DD1;DD3",1.49589735000446,1.4237377202184,TRUE
"NF2","DD2","Pericyte","DD1;DD3",0.789033503763264,0.533221082259383,TRUE
"NF2","DD3","FB","DD1;DD2",0.808374111614155,0.66978360313263,TRUE
"NF2","DD3","VSMC","DD1;DD2",1.69137206039015,1.56805697979052,TRUE
"NF2","DD3","Pericyte","DD1;DD2",1.1379370692042,1.04484592526715,TRUE
"PARVA","DD1","FB","DD2;DD3",0.659900167805558,0.655039327906664,TRUE
"PARVA","DD1","VSMC","DD2;DD3",1.86464682962654,1.47130949482157,TRUE
"PARVA","DD1","Pericyte","DD2;DD3",1.03771927385457,0.988195813502222,TRUE
"PARVA","DD2","FB","DD1;DD3",0.718200923930799,0.655039327906664,TRUE
"PARVA","DD2","VSMC","DD1;DD3",1.85093591111911,1.47130949482157,TRUE
"PARVA","DD2","Pericyte","DD1;DD3",0.884257687652025,0.780319561801828,TRUE
"PARVA","DD3","FB","DD1;DD2",0.723061763829693,0.664761007704452,TRUE
