"source","unit_id","gene","difference"
"PRJNA607098 (12 sample units)","SRS6155881","ITGAV",-0.0109139277839351
"PRJNA607098 (12 sample units)","SRS6155882","ITGAV",0.32583252377706
"PRJNA607098 (12 sample units)","SRS6155883","ITGAV",0.261542604400422
"PRJNA607098 (12 sample units)","SRS6155884","ITGAV",0.235128243388749
"PRJNA607098 (12 sample units)","SRS6155885","ITGAV",0.310951974265103
"PRJNA607098 (12 sample units)","SRS6155886","ITGAV",0.292644195704827
"PRJNA607098 (12 sample units)","SRS6155887","ITGAV",0.270753087492833
"PRJNA607098 (12 sample units)","SRS6155888","ITGAV",0.251769388466981
"PRJNA607098 (12 sample units)","SRS6155889","ITGAV",0.19728762849109
"PRJNA607098 (12 sample units)","SRS6155890","ITGAV",0.19540665036698
"PRJNA607098 (12 sample units)","SRS6155891","ITGAV",0.314338065362444
"PRJNA607098 (12 sample units)","SRS6155880","ITGB1",0.528552319225521
"PRJNA607098 (12 sample units)","SRS6155881","ITGB1",0.618983581957858
"PRJNA607098 (12 sample units)","SRS6155882","ITGB1",1.14034840794459
"PRJNA607098 (12 sample units)","SRS6155883","ITGB1",0.789734944516525
"PRJNA607098 (12 sample units)","SRS6155884","ITGB1",1.24780962568549
"PRJNA607098 (12 sample units)","SRS6155885","ITGB1",0.94826493035515
"PRJNA607098 (12 sample units)","SRS6155886","ITGB1",0.735020689470951
"PRJNA607098 (12 sample units)","SRS6155887","ITGB1",0.939284817636895
"PRJNA607098 (12 sample units)","SRS6155888","ITGB1",0.775350564184166
"PRJNA607098 (12 sample units)","SRS6155889","ITGB1",0.913296051752318
"PRJNA607098 (12 sample units)","SRS6155890","ITGB1",0.745403112555807
"PRJNA607098 (12 sample units)","SRS6155891","ITGB1",1.44162678554946
"PRJNA607098 (12 sample units)","SRS6155880","LIMK1",-0.00467699400222694
"PRJNA607098 (12 sample units)","SRS6155881","LIMK1",0.0441076306709352
"PRJNA607098 (12 sample units)","SRS6155882","LIMK1",0.0466025800002764
"PRJNA607098 (12 sample units)","SRS6155883","LIMK1",0.0550150798608085
"PRJNA607098 (12 sample units)","SRS6155884","LIMK1",0.118183968938422
"PRJNA607098 (12 sample units)","SRS6155885","LIMK1",0.0504686753369974
"PRJNA607098 (12 sample units)","SRS6155886","LIMK1",0
"PRJNA607098 (12 sample units)","SRS6155887","LIMK1",0.037279631405057
"PRJNA607098 (12 sample units)","SRS6155888","LIMK1",0.0068426095278753
"PRJNA607098 (12 sample units)","SRS6155889","LIMK1",0.068119505825445
"PRJNA607098 (12 sample units)","SRS6155890","LIMK1",0.00987344317751696
"PRJNA607098 (12 sample units)","SRS6155891","LIMK1",0.0666444462888381
"PRJNA607098 (12 sample units)","SRS6155880","NF2",0.026967905995746
"PRJNA607098 (12 sample units)","SRS6155881","NF2",0.0434239551555101
"PRJNA607098 (12 sample units)","SRS6155882","NF2",0.0878949821117806
"PRJNA607098 (12 sample units)","SRS6155883","NF2",0.02463331209582
"PRJNA607098 (12 sample units)","SRS6155884","NF2",-0.00330138445207484
"PRJNA607098 (12 sample units)","SRS6155885","NF2",0.0810941961252167
"PRJNA607098 (12 sample units)","SRS6155886","NF2",0
"PRJNA607098 (12 sample units)","SRS6155887","NF2",0.0303906805190792
"PRJNA607098 (12 sample units)","SRS6155888","NF2",0.0470514465218554
"PRJNA607098 (12 sample units)","SRS6155889","NF2",0.0688418437276967
"PRJNA607098 (12 sample units)","SRS6155890","NF2",0.0753886411818885
"PRJNA607098 (12 sample units)","SRS6155891","NF2",0.0364552056672526
"PRJNA607098 (12 sample units)","SRS6155880","PANX1",-0.0198677737460059
"PRJNA607098 (12 sample units)","SRS6155881","PANX1",-0.0224509219173824
"PRJNA607098 (12 sample units)","SRS6155882","PANX1",-0.118613332820265
"PRJNA607098 (12 sample units)","SRS6155883","PANX1",0.000533645821142986
"PRJNA607098 (12 sample units)","SRS6155884","PANX1",-0.0216683877574037
"PRJNA607098 (12 sample units)","SRS6155885","PANX1",0.0110114864656549
"PRJNA607098 (12 sample units)","SRS6155886","PANX1",0.0386934934445889
"PRJNA607098 (12 sample units)","SRS6155887","PANX1",0.00626142389610829
"PRJNA607098 (12 sample units)","SRS6155888","PANX1",-0.063767008346966
"PRJNA607098 (12 sample units)","SRS6155889","PANX1",-0.0197609144569516
"PRJNA607098 (12 sample units)","SRS6155890","PANX1",-0.0702989691213199
"PRJNA607098 (12 sample units)","SRS6155891","PANX1",0.00578528054399427
"PRJNA607098 (12 sample units)","SRS6155880","PARVA",0.012100838317379
"PRJNA607098 (12 sample units)","SRS6155881","PARVA",0.0683459673366124
"PRJNA607098 (12 sample units)","SRS6155882","PARVA",0.237129116099175
"PRJNA607098 (12 sample units)","SRS6155883","PARVA",0.214216148462726
"PRJNA607098 (12 sample units)","SRS6155884","PARVA",0.178813925314351
"PRJNA607098 (12 sample units)","SRS6155885","PARVA",0.134266756355207
"PRJNA607098 (12 sample units)","SRS6155886","PARVA",0.219638717497904
"PRJNA607098 (12 sample units)","SRS6155887","PARVA",0.149248089776586
"PRJNA607098 (12 sample units)","SRS6155888","PARVA",0.151239586262406
"PRJNA607098 (12 sample units)","SRS6155889","PARVA",0.197150635292907
"PRJNA607098 (12 sample units)","SRS6155890","PARVA",0.320870742569205
"PRJNA607098 (12 sample units)","SRS6155891","PARVA",0.413757039674746
"PRJNA607098 (12 sample units)","SRS6155880","PIEZO2",-0.142415910978083
"PRJNA607098 (12 sample units)","SRS6155881","PIEZO2",-0.160341079960173
"PRJNA607098 (12 sample units)","SRS6155882","PIEZO2",-0.111714872644372
"PRJNA607098 (12 sample units)","SRS6155883","PIEZO2",-0.016658034259081
"PRJNA607098 (12 sample units)","SRS6155884","PIEZO2",-0.110034797517586
"PRJNA607098 (12 sample units)","SRS6155885","PIEZO2",0.0639466716983508
"PRJNA607098 (12 sample units)","SRS6155886","PIEZO2",-0.156616811036063
"PRJNA607098 (12 sample units)","SRS6155887","PIEZO2",-0.250095396991212
"PRJNA607098 (12 sample units)","SRS6155888","PIEZO2",-0.14091063021845
"PRJNA607098 (12 sample units)","SRS6155889","PIEZO2",-0.0550298179983659
"PRJNA607098 (12 sample units)","SRS6155890","PIEZO2",0.0061235602945528
"PRJNA607098 (12 sample units)","SRS6155891","PIEZO2",0.130249640929933
"PRJNA607098 (12 sample units)","SRS6155880","TEAD1",0.0608656592279637
"PRJNA607098 (12 sample units)","SRS6155881","TEAD1",-0.184942680640968
"PRJNA607098 (12 sample units)","SRS6155882","TEAD1",0.0049874218400211
"PRJNA607098 (12 sample units)","SRS6155883","TEAD1",0.055386015686554
"PRJNA607098 (12 sample units)","SRS6155884","TEAD1",0.0187933612660265
"PRJNA607098 (12 sample units)","SRS6155885","TEAD1",0.0178460428792997
"PRJNA607098 (12 sample units)","SRS6155886","TEAD1",-0.0138685340506619
"PRJNA607098 (12 sample units)","SRS6155887","TEAD1",0.0150947312257356
"PRJNA607098 (12 sample units)","SRS6155888","TEAD1",-0.0226621606765551
"PRJNA607098 (12 sample units)","SRS6155889","TEAD1",0.0764881633573173
"PRJNA607098 (12 sample units)","SRS6155890","TEAD1",-0.0532950274507448
"PRJNA607098 (12 sample units)","SRS6155891","TEAD1",0.14559267817759
"PRJNA607098 (12 sample units)","SRS6155880","TMEM63B",0.0263145689885754
"PRJNA607098 (12 sample units)","SRS6155881","TMEM63B",-0.00317624790639531
"PRJNA607098 (12 sample units)","SRS6155882","TMEM63B",0.0512273417923548
"PRJNA607098 (12 sample units)","SRS6155883","TMEM63B",-0.0119643252196868
"PRJNA607098 (12 sample units)","SRS6155884","TMEM63B",0.160112161844545
"PRJNA607098 (12 sample units)","SRS6155885","TMEM63B",0.114823858264996
"PRJNA607098 (12 sample units)","SRS6155886","TMEM63B",-0.00650465070876519
"PRJNA607098 (12 sample units)","SRS6155887","TMEM63B",-0.0328583561315144
"PRJNA607098 (12 sample units)","SRS6155888","TMEM63B",0.0701591563808438
"PRJNA607098 (12 sample units)","SRS6155889","TMEM63B",0.0610963615397935
"PRJNA607098 (12 sample units)","SRS6155890","TMEM63B",0.0423527518596025
"PRJNA607098 (12 sample units)","SRS6155891","TMEM63B",0.138915648218853
"GSE130973 (5 subjects)","S1","CDC42",-0.302201360924786
"GSE130973 (5 subjects)","S1","CFL1",-0.383700422810877
"GSE130973 (5 subjects)","S1","CNN2",-0.079876822626798
"GSE130973 (5 subjects)","S1","FERMT2",0.294780984829664
"GSE130973 (5 subjects)","S1","ITGA2",-0.0592345610718885
"GSE130973 (5 subjects)","S1","ITGA5",0.162352417757134
"GSE130973 (5 subjects)","S1","ITGAV",0.143735930149342
"GSE130973 (5 subjects)","S1","ITGB1",0.166779214120724
"GSE130973 (5 subjects)","S1","LIMK1",0.0145536179600332
"GSE130973 (5 subjects)","S1","NF2",0.0122591097548114
"GSE130973 (5 subjects)","S1","PANX1",0.0461380407658355
"GSE130973 (5 subjects)","S1","PARVA",0.173323769317441
"GSE130973 (5 subjects)","S1","PIEZO2",0.0403946649543858
"GSE130973 (5 subjects)","S1","TEAD1",0.122943421192375
"GSE130973 (5 subjects)","S1","TMEM63B",0.00416726495824078
"GSE130973 (5 subjects)","S2","CDC42",0.0363776615296165
"GSE130973 (5 subjects)","S2","CFL1",-0.0302746708051198
"GSE130973 (5 subjects)","S2","CNN2",-0.0171452301703536
"GSE130973 (5 subjects)","S2","FERMT2",0.22189819107555
"GSE130973 (5 subjects)","S2","ITGA2",-0.00930937003677922
"GSE130973 (5 subjects)","S2","ITGA5",0.0714236632262041
"GSE130973 (5 subjects)","S2","ITGAV",0.102267451782545
"GSE130973 (5 subjects)","S2","ITGB1",0.252213687040085
"GSE130973 (5 subjects)","S2","LIMK1",0.017801148014776
"GSE130973 (5 subjects)","S2","NF2",0.0235440434058467
"GSE130973 (5 subjects)","S2","PANX1",0.0474267540612181
"GSE130973 (5 subjects)","S2","PARVA",0.197744441466835
"GSE130973 (5 subjects)","S2","PIEZO2",0.0384416016994096
"GSE130973 (5 subjects)","S2","TEAD1",0.102466761579956
"GSE130973 (5 subjects)","S2","TMEM63B",-0.000130195878013693
"GSE130973 (5 subjects)","S3","CDC42",-0.116847068696069
"GSE130973 (5 subjects)","S3","CFL1",-0.137722404030246
"GSE130973 (5 subjects)","S3","CNN2",-0.0258173701927415
"GSE130973 (5 subjects)","S3","FERMT2",0.268843769429822
"GSE130973 (5 subjects)","S3","ITGA2",-0.111958549360659
"GSE130973 (5 subjects)","S3","ITGA5",0.0635300987445694
"GSE130973 (5 subjects)","S3","ITGAV",0.0640000160431937
"GSE130973 (5 subjects)","S3","ITGB1",0.127908901563065
"GSE130973 (5 subjects)","S3","LIMK1",0.0234361874049321
"GSE130973 (5 subjects)","S3","NF2",0.0120012753763157
"GSE130973 (5 subjects)","S3","PANX1",-0.0267337095047455
"GSE130973 (5 subjects)","S3","PARVA",0.13769127657979
"GSE130973 (5 subjects)","S3","PIEZO2",0.00990238896683661
"GSE130973 (5 subjects)","S3","TEAD1",0.00860042264334365
"GSE130973 (5 subjects)","S3","TMEM63B",-0.00584182807476801
"GSE130973 (5 subjects)","S4","CDC42",-0.135095987043249
