"source","unit_id","module","difference","module_label"
"GSE130973 (5 subjects)","S2","actomyosin_rho",0.128154529839627,"Actomyosin/Rho"
"GSE130973 (5 subjects)","S3","actomyosin_rho",0.0740965264709573,"Actomyosin/Rho"
"GSE130973 (5 subjects)","S4","actomyosin_rho",0.184450329362878,"Actomyosin/Rho"
"GSE130973 (5 subjects)","S5","actomyosin_rho",0.107636528961576,"Actomyosin/Rho"
"GSE130973 (5 subjects)","S1","hippo_yap_taz",0.107451226902809,"Hippo/YAP/TAZ"
"GSE130973 (5 subjects)","S2","hippo_yap_taz",0.102146950666049,"Hippo/YAP/TAZ"
"GSE130973 (5 subjects)","S3","hippo_yap_taz",0.0289522103442494,"Hippo/YAP/TAZ"
"GSE130973 (5 subjects)","S4","hippo_yap_taz",-0.00906075678787542,"Hippo/YAP/TAZ"
"GSE130973 (5 subjects)","S5","hippo_yap_taz",0.0269925488957806,"Hippo/YAP/TAZ"
"GSE130973 (5 subjects)","S1","integrin_focal_adhesion",0.084221866489657,"Integrin/focal adhesion"
"GSE130973 (5 subjects)","S2","integrin_focal_adhesion",0.0901552771950578,"Integrin/focal adhesion"
"GSE130973 (5 subjects)","S3","integrin_focal_adhesion",0.0581110418045776,"Integrin/focal adhesion"
"GSE130973 (5 subjects)","S4","integrin_focal_adhesion",0.0447651248329915,"Integrin/focal adhesion"
"GSE130973 (5 subjects)","S5","integrin_focal_adhesion",0.0587994343073043,"Integrin/focal adhesion"
"GSE130973 (5 subjects)","S1","mechanosensor_channels",0.0200327354284964,"Mechanosensor channels"
"GSE130973 (5 subjects)","S2","mechanosensor_channels",0.02317550129384,"Mechanosensor channels"
"GSE130973 (5 subjects)","S3","mechanosensor_channels",0.0107688845040532,"Mechanosensor channels"
"GSE130973 (5 subjects)","S4","mechanosensor_channels",0.0109245525132388,"Mechanosensor channels"
"GSE130973 (5 subjects)","S5","mechanosensor_channels",0.0113953288036964,"Mechanosensor channels"
