"gsm_accession","title","biological_unit","age_group","mechanical_condition","tgfb_condition","replicate_label","design_text"
"GSM9056058","Old-Tension-TGFb-Replicate2","GM08401","older","tension","present","Replicate2","Old-Tension-TGFb-Replicate2 | GM08401 | cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: tesion with TGFb | batch: 2 | Library name: ORT2 | raw_counts_tensionTGFb.csv"
"GSM9056059","Old-NoTension-CTRL-Replicate1","GM08401","older","ambiguous","absent","Replicate1","Old-NoTension-CTRL-Replicate1 | GM08401 | cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tension without TGFb | batch: 1 | Library name: ONC1 | raw_counts_tensionTGFb.csv"
"GSM9056060","Old-NoTension-CTRL-Replicate2","GM08401","older","ambiguous","absent","Replicate2","Old-NoTension-CTRL-Replicate2 | GM08401 | cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tension without TGFb | batch: 2 | Library name: ONC2 | raw_counts_tensionTGFb.csv"
"GSM9056061","Old-NoTension-TGFb-Replicate1","GM08401","older","ambiguous","present","Replicate1","Old-NoTension-TGFb-Replicate1 | GM08401 | cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tesion with TGFb | batch: 1 | Library name: ONT1 | raw_counts_tensionTGFb.csv"
"GSM9056062","Old-NoTension-TGFb-Replicate2","GM08401","older","ambiguous","present","Replicate2","Old-NoTension-TGFb-Replicate2 | GM08401 | cell line: GM08401 | cell type: primary dermal fibroblast | age: old: 75 years old | treatment: no tesion with TGFb | batch: 2 | Library name: ONT2 | raw_counts_tensionTGFb.csv"
"GSM9056063","Young-Tension-CTRL-Replicate1","GM09503","young","tension","absent","Replicate1","Young-Tension-CTRL-Replicate1 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tension without TGFb | batch: 1 | Library name: YRC1 | raw_counts_tensionTGFb.csv"
"GSM9056064","Young-Tension-CTRL-Replicate2","GM09503","young","tension","absent","Replicate2","Young-Tension-CTRL-Replicate2 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tension without TGFb | batch: 2 | Library name: YRC2 | raw_counts_tensionTGFb.csv"
"GSM9056065","Young-Tension-TGFb-Replicate1","GM09503","young","tension","present","Replicate1","Young-Tension-TGFb-Replicate1 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tesion with TGFb | batch: 1 | Library name: YRT1 | raw_counts_tensionTGFb.csv"
"GSM9056066","Young-Tension-TGFb-Replicate2","GM09503","young","tension","present","Replicate2","Young-Tension-TGFb-Replicate2 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: tesion with TGFb | batch: 2 | Library name: YRT2 | raw_counts_tensionTGFb.csv"
"GSM9056067","Young-NoTension-CTRL-Replicate1","GM09503","young","ambiguous","absent","Replicate1","Young-NoTension-CTRL-Replicate1 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tension without TGFb | batch: 1 | Library name: YNC1 | raw_counts_tensionTGFb.csv"
"GSM9056068","Young-NoTension-CTRL-Replicate2","GM09503","young","ambiguous","absent","Replicate2","Young-NoTension-CTRL-Replicate2 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tension without TGFb | batch: 2 | Library name: YNC2 | raw_counts_tensionTGFb.csv"
"GSM9056069","Young-NoTension-TGFb-Replicate1","GM09503","young","ambiguous","present","Replicate1","Young-NoTension-TGFb-Replicate1 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tesion with TGFb | batch: 1 | Library name: YNT1 | raw_counts_tensionTGFb.csv"
"GSM9056070","Young-NoTension-TGFb-Replicate2","GM09503","young","ambiguous","present","Replicate2","Young-NoTension-TGFb-Replicate2 | GM09503 | cell line: GM09503 | cell type: primary dermal fibroblast | age: young: 10 years old | treatment: no tesion with TGFb | batch: 2 | Library name: YNT2 | raw_counts_tensionTGFb.csv"
