"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM9056066","cell line","GM09503","cell line: GM09503"
"GSM9056066","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056066","age","young: 10 years old","age: young: 10 years old"
"GSM9056066","treatment","tesion with TGFb","treatment: tesion with TGFb"
"GSM9056066","batch","2","batch: 2"
"GSM9056067","cell line","GM09503","cell line: GM09503"
"GSM9056067","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056067","age","young: 10 years old","age: young: 10 years old"
"GSM9056067","treatment","no tension without TGFb","treatment: no tension without TGFb"
"GSM9056067","batch","1","batch: 1"
"GSM9056068","cell line","GM09503","cell line: GM09503"
"GSM9056068","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056068","age","young: 10 years old","age: young: 10 years old"
"GSM9056068","treatment","no tension without TGFb","treatment: no tension without TGFb"
"GSM9056068","batch","2","batch: 2"
"GSM9056069","cell line","GM09503","cell line: GM09503"
"GSM9056069","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056069","age","young: 10 years old","age: young: 10 years old"
"GSM9056069","treatment","no tesion with TGFb","treatment: no tesion with TGFb"
"GSM9056069","batch","1","batch: 1"
"GSM9056070","cell line","GM09503","cell line: GM09503"
"GSM9056070","cell type","primary dermal fibroblast","cell type: primary dermal fibroblast"
"GSM9056070","age","young: 10 years old","age: young: 10 years old"
"GSM9056070","treatment","no tesion with TGFb","treatment: no tesion with TGFb"
"GSM9056070","batch","2","batch: 2"
