"module","sample","myofib_score","fb_score","other_identity_mean_score","myofib_minus_fb","myofib_minus_other_identity_mean"
"mechanosensor_channels","DD1",0.159459855764457,0.278277373940213,-0.0777452463247191,-0.118817518175756,0.237205102089176
"mechanosensor_channels","DD2",0.281207068406445,0.327708446925966,0.0257020310512943,-0.0465013785195215,0.25550503735515
"mechanosensor_channels","DD3",0.142787460024573,0.342018964719664,-0.00769569615598407,-0.199231504695091,0.150483156180557
"integrin_focal_adhesion","DD1",0.0708822133319939,-0.0179595391738634,-0.181435199573706,0.0888417525058573,0.2523174129057
"integrin_focal_adhesion","DD2",0.310444378065815,0.0213587255433582,0.00199285735723245,0.289085652522456,0.308451520708582
"integrin_focal_adhesion","DD3",0.12844720385722,0.0279766258010162,0.0466159774632135,0.100470578056204,0.0818312263940064
"hippo_yap_taz","DD1",-0.357376125302823,-0.268713035959381,-0.117197578732423,-0.0886630893434422,-0.240178546570401
"hippo_yap_taz","DD2",-0.128569474408284,-0.0322613847673478,0.0604670457471363,-0.096308089640936,-0.18903652015542
"hippo_yap_taz","DD3",0.000648129638272821,-0.182597182470808,0.0115078723561227,0.183245312109081,-0.0108597427178498
"actomyosin_rho","DD1",-0.171844310935362,-0.415199732023339,0.0453900189455651,0.243355421087977,-0.217234329880927
"actomyosin_rho","DD2",-0.0266644284232858,-0.485183463451183,-0.0226437109258446,0.458519035027897,-0.00402071749744114
"actomyosin_rho","DD3",-0.0529994492992695,-0.346198213209099,0.0872771085484115,0.293198763909829,-0.140276557847681
"ecm_remodeling","DD1",0.770668029526203,0.324408967405887,-0.289663556988562,0.446259062120316,1.06033158651477
"ecm_remodeling","DD2",0.893814563283918,0.638223027770092,0.0983914953379392,0.255591535513826,0.795423067945978
"ecm_remodeling","DD3",0.923650519410419,0.462026530224578,0.0577242572142542,0.461623989185841,0.865926262196165
"tgf_fibrosis","DD1",-0.0782805706492864,0.0567702501658487,-0.0601434457606409,-0.135050820815135,-0.0181371248886455
"tgf_fibrosis","DD2",0.101031837391888,0.0936218430445067,0.0767428370009355,0.0074099943473809,0.0242890003909521
"tgf_fibrosis","DD3",0.173846480260786,0.116597642621334,0.0352806660275959,0.0572488376394527,0.13856581423319
"inflammation_ap1_nfkb","DD1",-0.946453555042151,0.336071705832481,0.170340111422603,-1.28252526087463,-1.11679366646475
"inflammation_ap1_nfkb","DD2",-0.670230887329951,0.273113292859841,0.343177874643964,-0.943344180189791,-1.01340876197391
"inflammation_ap1_nfkb","DD3",-0.839475339059123,-0.14598919686758,-0.181478155670132,-0.693486142191543,-0.657997183388991
"hypoxia","DD1",0.085815136656557,-0.0396768300864959,-0.0174268746214842,0.125491966743053,0.103242011278041
"hypoxia","DD2",0.0205317714415929,-0.026263479378988,0.0013304098854478,0.0467952508205809,0.0192013615561451
"hypoxia","DD3",0.00553502886818058,0.0243495286495061,-0.10618951782465,-0.0188144997813255,0.11172454669283
"cell_cycle","DD1",-0.178576232093769,-0.238194107507763,0.0190811948294856,0.0596178754139946,-0.197657426923254
"cell_cycle","DD2",0.577065806154349,0.387583518257011,0.240365368074659,0.189482287897338,0.33670043807969
"cell_cycle","DD3",0.765570415770991,-0.254051789970875,0.236384487815038,1.01962220574187,0.529185927955954
"primary_mechanotransduction_composite","DD1",-0.0747195917854337,-0.105898733304093,-0.0827470014213206,0.0311791415186591,0.0080274096358869
"primary_mechanotransduction_composite","DD2",0.109104385910172,-0.0420944189373017,0.0163795558074546,0.151198804847474,0.0927248301027178
"primary_mechanotransduction_composite","DD3",0.0547208360551991,-0.0396999512898066,0.0344263155529409,0.0944207873450058,0.0202945205022582
