"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size"
"SF3","SF","Uninjured","3","Pericyte","integrin_focal_adhesion",0.00703556731665603,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","integrin_focal_adhesion",-0.240681307665747,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","integrin_focal_adhesion",0.00598562876800932,284,999385.800593251
"DD3","DD","DD","3","Pericyte","integrin_focal_adhesion",0.0693691520102479,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","hippo_yap_taz",-0.0996327038813471,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","hippo_yap_taz",-0.104646389507436,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","hippo_yap_taz",-0.0806366200385657,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","hippo_yap_taz",-0.251895568864067,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","hippo_yap_taz",-0.0253347132130536,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","hippo_yap_taz",-0.162907971626737,369,2290169.69525231
"DD1","DD","DD","0","FB","hippo_yap_taz",-0.268713035959381,831,2349260.25251866
"DD2","DD","DD","0","FB","hippo_yap_taz",-0.0322613847673478,1426,7157699.18649563
"DD3","DD","DD","0","FB","hippo_yap_taz",-0.182597182470808,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","hippo_yap_taz",0.529654826360354,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","hippo_yap_taz",-0.132616553334461,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","hippo_yap_taz",0.110605534391373,13,68914.7910862474
"DD1","DD","DD","1","Myofib","hippo_yap_taz",-0.357376125302823,106,833504.751771542
"DD2","DD","DD","1","Myofib","hippo_yap_taz",-0.128569474408284,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","hippo_yap_taz",0.000648129638272821,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","hippo_yap_taz",0.0707011518698675,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","hippo_yap_taz",-0.0220484163543446,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","hippo_yap_taz",-0.0144468308796905,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","hippo_yap_taz",-0.221116473910458,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","hippo_yap_taz",0.249142257664241,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","hippo_yap_taz",0.153501658484837,65,443972.448860167
"DD1","DD","DD","2","VSMC","hippo_yap_taz",-0.0748441829009146,512,1406122.42818261
"DD2","DD","DD","2","VSMC","hippo_yap_taz",0.056252662622819,331,1090646.38574983
"DD3","DD","DD","2","VSMC","hippo_yap_taz",0.0352003327028312,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","hippo_yap_taz",-0.169054187332917,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","hippo_yap_taz",0.277893139474969,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","hippo_yap_taz",0.222453323815929,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","hippo_yap_taz",0.0131216331883241,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","hippo_yap_taz",0.259894931815546,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","hippo_yap_taz",0.0183334238379671,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","hippo_yap_taz",-0.00803551733697211,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","hippo_yap_taz",0.157409859385938,284,999385.800593251
"DD3","DD","DD","3","Pericyte","hippo_yap_taz",0.181920466836345,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","actomyosin_rho",-0.562884033184652,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","actomyosin_rho",-0.519407568142804,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","actomyosin_rho",-0.438074212122642,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","actomyosin_rho",-0.596591372119845,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","actomyosin_rho",-0.425857796557348,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","actomyosin_rho",-0.352398459657282,369,2290169.69525231
"DD1","DD","DD","0","FB","actomyosin_rho",-0.415199732023339,831,2349260.25251866
"DD2","DD","DD","0","FB","actomyosin_rho",-0.485183463451183,1426,7157699.18649563
"DD3","DD","DD","0","FB","actomyosin_rho",-0.346198213209099,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","actomyosin_rho",-0.181309008072955,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","actomyosin_rho",0.0716693171883551,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","actomyosin_rho",-0.496801222104606,13,68914.7910862474
"DD1","DD","DD","1","Myofib","actomyosin_rho",-0.171844310935362,106,833504.751771542
"DD2","DD","DD","1","Myofib","actomyosin_rho",-0.0266644284232858,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","actomyosin_rho",-0.0529994492992695,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","actomyosin_rho",0.385372600755122,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","actomyosin_rho",0.473039312424039,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","actomyosin_rho",0.503147806892561,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","actomyosin_rho",0.416871432856746,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","actomyosin_rho",0.655880021521726,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","actomyosin_rho",0.539738655666611,65,443972.448860167
"DD1","DD","DD","2","VSMC","actomyosin_rho",0.423252618808298,512,1406122.42818261
"DD2","DD","DD","2","VSMC","actomyosin_rho",0.462806572066802,331,1090646.38574983
"DD3","DD","DD","2","VSMC","actomyosin_rho",0.609765197976716,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","actomyosin_rho",-0.157884297978935,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","actomyosin_rho",0.0796089296299303,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","actomyosin_rho",0.141617952841909,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","actomyosin_rho",0.0160961725955301,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","actomyosin_rho",0.156842309918406,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","actomyosin_rho",0.212761396603646,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","actomyosin_rho",0.128117170051736,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","actomyosin_rho",-0.0455542413931529,284,999385.800593251
"DD3","DD","DD","3","Pericyte","actomyosin_rho",-0.0017356591223834,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","ecm_remodeling",0.215790121125667,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","ecm_remodeling",0.509375903406883,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","ecm_remodeling",0.467482986651884,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","ecm_remodeling",-0.137954840559229,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","ecm_remodeling",0.509768686643962,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","ecm_remodeling",0.299068044120192,369,2290169.69525231
"DD1","DD","DD","0","FB","ecm_remodeling",0.324408967405887,831,2349260.25251866
"DD2","DD","DD","0","FB","ecm_remodeling",0.638223027770092,1426,7157699.18649563
"DD3","DD","DD","0","FB","ecm_remodeling",0.462026530224578,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","ecm_remodeling",1.34908874082711,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","ecm_remodeling",0.288527591328844,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","ecm_remodeling",0.943480895678895,13,68914.7910862474
"DD1","DD","DD","1","Myofib","ecm_remodeling",0.770668029526203,106,833504.751771542
"DD2","DD","DD","1","Myofib","ecm_remodeling",0.893814563283918,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","ecm_remodeling",0.923650519410419,1640,13512556.3900719
