"sample","source","condition","seurat_cluster","reproduced_identity","module","pseudobulk_module_score","singlet_cells","library_size"
"DD2","DD","DD","0","FB","cell_cycle",0.387583518257011,1426,7157699.18649563
"DD3","DD","DD","0","FB","cell_cycle",-0.254051789970875,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","cell_cycle",0.20109987713235,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","cell_cycle",0.990134507234261,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","cell_cycle",-0.583903543974593,13,68914.7910862474
"DD1","DD","DD","1","Myofib","cell_cycle",-0.178576232093769,106,833504.751771542
"DD2","DD","DD","1","Myofib","cell_cycle",0.577065806154349,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","cell_cycle",0.765570415770991,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","cell_cycle",-0.160089550093653,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","cell_cycle",-0.37406708063433,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","cell_cycle",-0.267209238726048,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","cell_cycle",-0.134501661584092,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","cell_cycle",-0.365760645356638,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","cell_cycle",-0.357961842270835,65,443972.448860167
"DD1","DD","DD","2","VSMC","cell_cycle",-0.12529567160669,512,1406122.42818261
"DD2","DD","DD","2","VSMC","cell_cycle",-0.149852788772605,331,1090646.38574983
"DD3","DD","DD","2","VSMC","cell_cycle",0.664548714461218,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","cell_cycle",-0.0779371836117809,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","cell_cycle",-0.107709772546614,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","cell_cycle",-0.269700758926275,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","cell_cycle",-0.0301227010617094,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","cell_cycle",-0.295334017341716,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","cell_cycle",-0.437453800380082,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","cell_cycle",0.42073336360291,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","cell_cycle",0.483365374739571,284,999385.800593251
"DD3","DD","DD","3","Pericyte","cell_cycle",0.298656538954771,337,1138632.08827108
"Dermis1","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",-0.180376565431311,1765,5467424.98379701
"Dermis2","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",-0.202478328435054,283,606645.954668903
"Dermis3","Dermis","Uninjured","0","FB","primary_mechanotransduction_composite",-0.0666681116557761,389,1614383.17757474
"SF1","SF","Uninjured","0","FB","primary_mechanotransduction_composite",-0.210810393256803,1199,5729864.87756597
"SF2","SF","Uninjured","0","FB","primary_mechanotransduction_composite",0.0500997142275589,885,6504502.65085137
"SF3","SF","Uninjured","0","FB","primary_mechanotransduction_composite",-0.0232974436322957,369,2290169.69525231
"DD1","DD","DD","0","FB","primary_mechanotransduction_composite",-0.105898733304093,831,2349260.25251866
"DD2","DD","DD","0","FB","primary_mechanotransduction_composite",-0.0420944189373017,1426,7157699.18649563
"DD3","DD","DD","0","FB","primary_mechanotransduction_composite",-0.0396999512898066,568,1923766.15659188
"Dermis2","Dermis","Uninjured","1","Myofib","primary_mechanotransduction_composite",0.169625641580114,4,12361.6082313419
"SF1","SF","Uninjured","1","Myofib","primary_mechanotransduction_composite",0.401861617358688,1,3176.06799447985
"SF2","SF","Uninjured","1","Myofib","primary_mechanotransduction_composite",-0.0227871123096877,13,68914.7910862474
"DD1","DD","DD","1","Myofib","primary_mechanotransduction_composite",-0.0747195917854337,106,833504.751771542
"DD2","DD","DD","1","Myofib","primary_mechanotransduction_composite",0.109104385910172,2216,22181565.6436082
"DD3","DD","DD","1","Myofib","primary_mechanotransduction_composite",0.0547208360551991,1640,13512556.3900719
"Dermis1","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",-0.0012670504246182,862,2294646.63582506
"Dermis2","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",-0.00588439864911574,171,366509.533865956
"Dermis3","Dermis","Uninjured","2","VSMC","primary_mechanotransduction_composite",0.0405560030642558,652,2128434.59444131
"SF1","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",-0.0571242792989203,367,1665579.15998533
"SF2","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",0.249100073645693,198,1505244.5691408
"SF3","SF","Uninjured","2","VSMC","primary_mechanotransduction_composite",0.0435044592719223,65,443972.448860167
"DD1","DD","DD","2","VSMC","primary_mechanotransduction_composite",-0.0629474434961901,512,1406122.42818261
"DD2","DD","DD","2","VSMC","primary_mechanotransduction_composite",0.068396863741613,331,1090646.38574983
"DD3","DD","DD","2","VSMC","primary_mechanotransduction_composite",0.0898375723254272,389,1178850.46591961
"Dermis1","Dermis","Uninjured","3","Pericyte","primary_mechanotransduction_composite",-0.236946118961108,51,90889.2168124495
"Dermis2","Dermis","Uninjured","3","Pericyte","primary_mechanotransduction_composite",-0.0409308840114674,64,95019.1624545057
"Dermis3","Dermis","Uninjured","3","Pericyte","primary_mechanotransduction_composite",0.0913472954493625,25,43085.4678852978
"SF1","SF","Uninjured","3","Pericyte","primary_mechanotransduction_composite",0.00385719745657703,107,390347.360296792
"SF2","SF","Uninjured","3","Pericyte","primary_mechanotransduction_composite",0.0504174376224365,53,214217.450766183
"SF3","SF","Uninjured","3","Pericyte","primary_mechanotransduction_composite",-0.0450809936076138,12,42138.6339430442
"DD1","DD","DD","3","Pericyte","primary_mechanotransduction_composite",-0.0793948274636789,487,1491281.66749562
"DD2","DD","DD","3","Pericyte","primary_mechanotransduction_composite",0.0228362226180525,284,999385.800593251
"DD3","DD","DD","3","Pericyte","primary_mechanotransduction_composite",0.0531413256232021,337,1138632.08827108
