"sample","source","condition","seurat_cluster","reproduced_identity","module","singlet_cells","mean_cell_score","median_cell_score","sd_cell_score"
"SF2","SF","Uninjured","0","FB","ecm_remodeling",885,0.297742246889246,0.239657858002023,0.432176843821043
"SF2","SF","Uninjured","0","FB","tgf_fibrosis",885,-0.0483759461727306,-0.0578082443203757,0.149941085250866
"SF2","SF","Uninjured","0","FB","inflammation_ap1_nfkb",885,-0.132376173745157,-0.147671524161036,0.184583520639366
"SF2","SF","Uninjured","0","FB","hypoxia",885,-0.132340532002678,-0.136265559043799,0.106090536231117
"SF2","SF","Uninjured","0","FB","cell_cycle",885,-0.107522061516472,-0.114515693089687,0.0533140279275394
"SF2","SF","Uninjured","0","FB","primary_mechanotransduction_composite",885,-0.0742618424835273,-0.0813144755102832,0.0771095596179204
"SF3","SF","Uninjured","0","FB","mechanosensor_channels",369,-0.0763784204389623,-0.0857774954123877,0.0677391372996355
"SF3","SF","Uninjured","0","FB","integrin_focal_adhesion",369,-0.0841215485849847,-0.0985772935272144,0.133956141921495
"SF3","SF","Uninjured","0","FB","hippo_yap_taz",369,-0.0792001525467713,-0.084440893001242,0.135649973194897
"SF3","SF","Uninjured","0","FB","actomyosin_rho",369,-0.0504279577305366,-0.053739487482392,0.162938251772115
"SF3","SF","Uninjured","0","FB","ecm_remodeling",369,0.115338272460429,0.0576233567128235,0.363279845334225
"SF3","SF","Uninjured","0","FB","tgf_fibrosis",369,-0.0506440405355328,-0.0585206736039981,0.138373008284519
"SF3","SF","Uninjured","0","FB","inflammation_ap1_nfkb",369,-0.078933914040164,-0.0821232058366085,0.202137906087659
"SF3","SF","Uninjured","0","FB","hypoxia",369,-0.142258712475766,-0.145961700744433,0.125122613434837
"SF3","SF","Uninjured","0","FB","cell_cycle",369,-0.112807326939738,-0.120019177334358,0.0553624432379884
"SF3","SF","Uninjured","0","FB","primary_mechanotransduction_composite",369,-0.0725320198253137,-0.0694252423852343,0.0727195266392425
"DD1","DD","DD","0","FB","mechanosensor_channels",831,-0.0440716640459111,-0.0605973540226477,0.0672247867095935
"DD1","DD","DD","0","FB","integrin_focal_adhesion",831,-0.132635401868752,-0.149069815345057,0.153409083866944
"DD1","DD","DD","0","FB","hippo_yap_taz",831,-0.087071938837811,-0.10277216624922,0.142929329825528
"DD1","DD","DD","0","FB","actomyosin_rho",831,-0.0340697129137895,-0.0494534064841334,0.200347591202748
"DD1","DD","DD","0","FB","ecm_remodeling",831,0.164429856099144,0.0771163047998877,0.623838154799907
"DD1","DD","DD","0","FB","tgf_fibrosis",831,-0.104142285130123,-0.120479898763127,0.14624619481309
"DD1","DD","DD","0","FB","inflammation_ap1_nfkb",831,-0.017793041921482,-0.0618205924351261,0.320518363686591
"DD1","DD","DD","0","FB","hypoxia",831,-0.109813224751647,-0.124759792256598,0.133276080442543
"DD1","DD","DD","0","FB","cell_cycle",831,-0.0582973484655281,-0.0714997122493986,0.0614043835602066
"DD1","DD","DD","0","FB","primary_mechanotransduction_composite",831,-0.0744621794165659,-0.0830350195065407,0.0875931909648199
"DD2","DD","DD","0","FB","mechanosensor_channels",1426,-0.0588911846232121,-0.0693942995251957,0.0585535676682209
"DD2","DD","DD","0","FB","integrin_focal_adhesion",1426,-0.149183313742206,-0.161121890900039,0.12926430998312
"DD2","DD","DD","0","FB","hippo_yap_taz",1426,-0.0902742729634611,-0.100544497914624,0.130960215076993
"DD2","DD","DD","0","FB","actomyosin_rho",1426,-0.131170941536715,-0.14294251940802,0.177079627425099
"DD2","DD","DD","0","FB","ecm_remodeling",1426,0.49271336246122,0.51284932642503,0.501052232532273
"DD2","DD","DD","0","FB","tgf_fibrosis",1426,-0.102070149188344,-0.115463102414696,0.137124657252794
"DD2","DD","DD","0","FB","inflammation_ap1_nfkb",1426,0.0415576496390955,0.0351621871909857,0.229071720424289
"DD2","DD","DD","0","FB","hypoxia",1426,-0.12786648608159,-0.135987115476308,0.110721114404073
"DD2","DD","DD","0","FB","cell_cycle",1426,-0.0689680115907454,-0.0809385919560571,0.0698371285922978
"DD2","DD","DD","0","FB","primary_mechanotransduction_composite",1426,-0.107379928216399,-0.112550541353518,0.0722146471564628
"DD3","DD","DD","0","FB","mechanosensor_channels",568,-0.0485416091276462,-0.0571708186483214,0.0695652399409615
"DD3","DD","DD","0","FB","integrin_focal_adhesion",568,-0.112622596617112,-0.127015847682555,0.142379517511357
"DD3","DD","DD","0","FB","hippo_yap_taz",568,-0.0332290975538482,-0.0483825787705226,0.156459743292816
"DD3","DD","DD","0","FB","actomyosin_rho",568,0.00137890244002178,-0.0241494136311655,0.22657133551762
"DD3","DD","DD","0","FB","ecm_remodeling",568,0.382613811381315,0.341404886306835,0.589578294577203
"DD3","DD","DD","0","FB","tgf_fibrosis",568,-0.0603508157760021,-0.0777423945160486,0.159690054866826
"DD3","DD","DD","0","FB","inflammation_ap1_nfkb",568,-0.0327748287387266,-0.0499468081487026,0.241798265257925
"DD3","DD","DD","0","FB","hypoxia",568,-0.119446504349597,-0.135520684218869,0.126113017546915
"DD3","DD","DD","0","FB","cell_cycle",568,-0.0609908157840391,-0.0660768851075446,0.057683215768059
"DD3","DD","DD","0","FB","primary_mechanotransduction_composite",568,-0.0482536002146461,-0.0558007323373437,0.0982589371377106
"Dermis2","Dermis","Uninjured","1","Myofib","mechanosensor_channels",4,-0.0826715532408017,-0.0895290532553988,0.0393771315088838
"Dermis2","Dermis","Uninjured","1","Myofib","integrin_focal_adhesion",4,-0.0956844201774673,-0.116946071275168,0.113612844717899
"Dermis2","Dermis","Uninjured","1","Myofib","hippo_yap_taz",4,-0.0502816121057337,-0.0914992080879748,0.217756330827708
"Dermis2","Dermis","Uninjured","1","Myofib","actomyosin_rho",4,0.0709716623024648,0.0615158038916192,0.181705678034766
"Dermis2","Dermis","Uninjured","1","Myofib","ecm_remodeling",4,1.36546424244925,1.22685462201545,0.307881266767556
"Dermis2","Dermis","Uninjured","1","Myofib","tgf_fibrosis",4,-0.0748635441373811,-0.149602049330927,0.309946230660791
"Dermis2","Dermis","Uninjured","1","Myofib","inflammation_ap1_nfkb",4,-0.158310167527229,-0.176155908073361,0.0647971146330465
"Dermis2","Dermis","Uninjured","1","Myofib","hypoxia",4,-0.212264494092842,-0.24663534679991,0.0795279394790936
"Dermis2","Dermis","Uninjured","1","Myofib","cell_cycle",4,-0.0678755535767469,-0.0835187374296026,0.0472468106319186
"Dermis2","Dermis","Uninjured","1","Myofib","primary_mechanotransduction_composite",4,-0.0394164808053845,-0.0622095639164703,0.0805399245476294
"SF1","SF","Uninjured","1","Myofib","mechanosensor_channels",1,-0.119759969453511,-0.119759969453511,NA
"SF1","SF","Uninjured","1","Myofib","integrin_focal_adhesion",1,0.00389305305060411,0.00389305305060411,NA
"SF1","SF","Uninjured","1","Myofib","hippo_yap_taz",1,-0.118380073580639,-0.118380073580639,NA
"SF1","SF","Uninjured","1","Myofib","actomyosin_rho",1,-0.0603256037110124,-0.0603256037110124,NA
"SF1","SF","Uninjured","1","Myofib","ecm_remodeling",1,0.139728711248232,0.139728711248232,NA
"SF1","SF","Uninjured","1","Myofib","tgf_fibrosis",1,-0.128276975763299,-0.128276975763299,NA
"SF1","SF","Uninjured","1","Myofib","inflammation_ap1_nfkb",1,-0.433359427232504,-0.433359427232504,NA
