"source","gene","present_in_matrix"
"GSE276045","ITGAV",FALSE
"GSE276045","ITGB1",FALSE
"GSE276045","ITGA2",FALSE
"GSE276045","PARVA",FALSE
"GSE276045","ITGA5",FALSE
"GSE276045","FERMT2",FALSE
"GSE276045","CFL1",FALSE
"GSE276045","LIMK1",FALSE
"GSE276045","CNN2",FALSE
"GSE276045","CDC42",FALSE
"GSE276045","PIEZO2",FALSE
"GSE276045","TMEM63B",FALSE
"GSE276045","PANX1",FALSE
"GSE276045","NF2",FALSE
"GSE276045","TEAD1",FALSE
