"gse_accession","analysis_role","matrix_filename","matrix_path","direct_url","download_status","bytes","rows","columns","eligible_metadata_samples","detected_sample_columns","mapped_eligible_samples","mapping_complete","resolved_gene_column","frozen_candidate_present","frozen_candidate_total","core_module_gate","decision"
"GSE123100","S3_primary_HTM_stiffness_series","GSE123100_cell_expressed_gene_RPKM.txt.gz","./data/processed/independent_sources/S3/GSE123100_cell_expressed_gene_RPKM.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_cell_expressed_gene_RPKM.txt.gz","downloaded",1562998,20298,18,11,11,0,FALSE,"Symbol",14,15,TRUE,"HOLD_SAMPLE_MAPPING_OR_MATRIX_REVIEW"
"GSE276045","S3_WI38_stiffness_x_cell_model_cross_check","GSE276045_bulk_RNA_seq_1_counts.txt.gz","./data/processed/independent_sources/S3/GSE276045_bulk_RNA_seq_1_counts.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276045/suppl/GSE276045_bulk_RNA_seq_1_counts.txt.gz","downloaded",7447875,58096,179,178,178,0,FALSE,"""Genes""",0,15,FALSE,"HOLD_SAMPLE_MAPPING_OR_MATRIX_REVIEW"
