"filename","direct_url","is_raw_archive","is_processed_matrix_candidate","auto_download_authorized"
"GSE338388_Cnt-K975-TGF-TGFandK975-12h_normalizedExpression.csv.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE338nnn/GSE338388/suppl/GSE338388_Cnt-K975-TGF-TGFandK975-12h_normalizedExpression.csv.gz",FALSE,TRUE,TRUE
"index.html","https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
