"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM8489997","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8489997","genotype","Wild-type","genotype: Wild-type"
"GSM8489998","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8489998","genotype","Wild-type","genotype: Wild-type"
"GSM8489999","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8489999","genotype","Wild-type","genotype: Wild-type"
"GSM8490000","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490000","genotype","hTERT","genotype: hTERT"
"GSM8490001","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490001","genotype","hTERT","genotype: hTERT"
"GSM8490002","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490002","genotype","hTERT","genotype: hTERT"
"GSM8490003","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490003","genotype","Wild-type","genotype: Wild-type"
"GSM8490004","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490004","genotype","Wild-type","genotype: Wild-type"
"GSM8490005","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490005","genotype","Wild-type","genotype: Wild-type"
"GSM8490006","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490006","genotype","hTERT","genotype: hTERT"
"GSM8490007","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490007","genotype","hTERT","genotype: hTERT"
"GSM8490008","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490008","genotype","hTERT","genotype: hTERT"
"GSM8490009","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490009","genotype","Wild-type","genotype: Wild-type"
"GSM8490010","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490010","genotype","Wild-type","genotype: Wild-type"
"GSM8490011","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490011","genotype","Wild-type","genotype: Wild-type"
"GSM8490012","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490012","genotype","hTERT","genotype: hTERT"
"GSM8490013","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490013","genotype","hTERT","genotype: hTERT"
"GSM8490014","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490014","genotype","hTERT","genotype: hTERT"
"GSM8490015","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490015","genotype","Wild-type","genotype: Wild-type"
"GSM8490016","cell line","WI-38 cell line","cell line: WI-38 cell line"
"GSM8490016","genotype","Wild-type","genotype: Wild-type"
