"gse_accession","filename","direct_url","is_raw_archive","is_processed_matrix_candidate","auto_download_authorized"
"GSE276045","GSE276045_bulk_RNA_seq_1_counts.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276045/suppl/GSE276045_bulk_RNA_seq_1_counts.txt.gz",FALSE,TRUE,TRUE
"GSE276045","index.html","https://www.hhs.gov/vulnerability-disclosure-policy/index.html",FALSE,FALSE,FALSE
