"gse_accession","analysis_role","matrix_priority","matrix_filename","direct_url","download_authorized"
"GSE123100","S3_primary_HTM_stiffness_series","primary_RPKM_expression","GSE123100_cell_expressed_gene_RPKM.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_cell_expressed_gene_RPKM.txt.gz",TRUE
"GSE276045","S3_WI38_stiffness_x_cell_model_cross_check","official_bulk_counts","GSE276045_bulk_RNA_seq_1_counts.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276045/suppl/GSE276045_bulk_RNA_seq_1_counts.txt.gz",TRUE
