"matrix_column","matrix_key","gsm_accession","match_status"
"A_1.1 kPa","A_1","GSM3495154","matched_by_official_title"
"A_2.5 kPa","A_2","GSM3495155","matched_by_official_title"
"A_4.2 kPa","A_3","GSM3495156","matched_by_official_title"
"A_11.9 kPa","A_4","GSM3495157","matched_by_official_title"
"A_34.3 kPa","A_5","GSM3495158","matched_by_official_title"
"A_50 kPa","A_6","GSM3495159","matched_by_official_title"
"C_1.1 kPa","C_1","GSM3495161","matched_by_official_title"
"C_2.5 kPa","C_2","GSM3495162","matched_by_official_title"
"C_11.9 kPa","C_4","GSM3495163","matched_by_official_title"
"C_34.4 kPa","C_5","GSM3495164","matched_by_official_title"
"C_50 kPa","C_6","GSM3495160","matched_by_official_title"
