"module","role","method","cell_line","contrast","contrast_value"
"mechanosensor_channels","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.228469900883917
"mechanosensor_channels","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",1.22960504852638
"mechanosensor_channels","primary","zmedian","GM09503","mechanical_x_tgfb",1.00113514764247
"mechanosensor_channels","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.0613267820759478
"mechanosensor_channels","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.261529621400324
"mechanosensor_channels","primary","zmedian","GM08401","mechanical_x_tgfb",0.200202839324376
"integrin_focal_adhesion","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.354288601508114
"integrin_focal_adhesion","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.187901094504368
"integrin_focal_adhesion","primary","zmedian","GM09503","mechanical_x_tgfb",-0.542189696012482
"integrin_focal_adhesion","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.48407230338794
"integrin_focal_adhesion","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.231167113401154
"integrin_focal_adhesion","primary","zmedian","GM08401","mechanical_x_tgfb",-0.252905189986786
"hippo_yap_taz","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.524852917914031
"hippo_yap_taz","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.319776959148717
"hippo_yap_taz","primary","zmedian","GM09503","mechanical_x_tgfb",0.205075958765314
"hippo_yap_taz","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.260700553124863
"hippo_yap_taz","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.556368914718718
"hippo_yap_taz","primary","zmedian","GM08401","mechanical_x_tgfb",-0.817069467843581
"actomyosin_rho","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.720387326706677
"actomyosin_rho","primary","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.628381338975484
"actomyosin_rho","primary","zmedian","GM09503","mechanical_x_tgfb",-0.0920059877311937
"actomyosin_rho","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.875000406458434
"actomyosin_rho","primary","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.611831922592644
"actomyosin_rho","primary","zmedian","GM08401","mechanical_x_tgfb",-0.26316848386579
"ecm_remodeling","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.309989049558653
"ecm_remodeling","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.274526859555414
"ecm_remodeling","competitor","zmedian","GM09503","mechanical_x_tgfb",0.584515909114068
"ecm_remodeling","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.217239032740784
"ecm_remodeling","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.0388629698898417
"ecm_remodeling","competitor","zmedian","GM08401","mechanical_x_tgfb",-0.178376062850943
"tgf_fibrosis","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-1.0234353832555
"tgf_fibrosis","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.605333194308026
"tgf_fibrosis","competitor","zmedian","GM09503","mechanical_x_tgfb",0.418102188947475
"tgf_fibrosis","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",-0.626501386591961
"tgf_fibrosis","competitor","zmedian","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.722410635398124
"tgf_fibrosis","competitor","zmedian","GM08401","mechanical_x_tgfb",-0.0959092488061621
"inflammation_ap1_nfkb","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",-0.810463806355149
"inflammation_ap1_nfkb","competitor","zmedian","GM09503","mechanical_tension_vs_relaxed_tgfb_present",-0.0918934925717088
"inflammation_ap1_nfkb","competitor","zmedian","GM09503","mechanical_x_tgfb",0.71857031378344
