"module","method","genes_used","YNT1","YNT2","YNC1","YNC2","ONT1","ONT2","ONC1","ONC2","YRT1","YRT2","YRC1","YRC2","ORT1","ORT2","ORC1","ORC2"
"mechanosensor_channels","zmean",16,-0.507421053680111,-0.610260402811311,0.269314374931281,0.170984753838491,-0.524428746241038,-0.625068167161143,0.188470084465026,0.400650298524648,0.269767553735158,0.294069420412819,0.00943019220802328,0.65894181102804,-0.468583787423774,-0.270385743883195,0.320188035433033,0.424331376624053
"integrin_focal_adhesion","zmean",23,-0.110459815058349,0.0224218109625716,-0.222454032215825,-0.169222113749286,0.122331510821815,0.0490764108469229,-0.0815295606301134,-0.279461873276178,-0.0866215820027955,0.0279502082677041,-0.152496180483593,0.0504293045013072,0.187503743656115,0.157234303767756,0.355887990207222,0.129409874384727
"hippo_yap_taz","zmean",17,0.229292397638149,0.0695483664136972,0.196117753074165,0.16797723425884,-0.0014153763038005,-0.0546763291200892,-0.184601683317838,-0.334391242285958,-0.133014402271401,0.112724408884578,0.163116038458012,0.194463960546278,-0.265909839385992,-0.0159858591143528,-0.0896368685150055,-0.0536085589592832
"actomyosin_rho","zmean",20,0.000556442857314309,-0.0671356070111212,-0.840247180714501,-0.606631399908871,0.268275618433769,0.0544169676307762,-0.480584874344299,-0.647786789715915,0.407428675987112,0.220204409036831,0.0203981691404587,-0.0302949575552522,0.748150186542396,0.56016959364422,0.226852674335186,0.166228071641893
"ecm_remodeling","zmean",23,0.127562739387408,0.512853154543011,-0.823998784951298,-0.227392945568394,0.377181235500434,0.333796866008133,-0.0798191903520802,-0.156323215029437,0.265694810464378,0.596767829894967,-1.24444458435909,-0.464823072189176,0.224468535876798,0.515542143326768,-0.0511674298603409,0.0941019073079226
"tgf_fibrosis","zmean",19,0.413667618355079,0.372812323999033,0.207962354276905,0.246516446396482,0.333755932732975,0.35940488405288,-0.0725551366989619,0.136989545771292,-0.403753819172293,-0.0923782174631294,-0.372892041766308,-0.114501085495271,-0.220789023551637,-0.126064421954362,-0.378210546408856,-0.289964813073821
"inflammation_ap1_nfkb","zmean",15,0.237188122580747,0.583096448313351,0.445852003977055,1.12478334783557,-0.855656082325005,-0.265058692333216,-0.177397010617516,-0.123202144055858,0.269253611706503,0.639088242188732,-0.113486485287924,0.209816342169287,-0.676443057232287,-0.328686639629593,-0.575812588031677,-0.393335419258171
"hypoxia","zmean",17,-0.400901703552269,-0.158571374551836,0.0261304913875391,0.349824288229214,-0.613114422068582,-0.175710632499332,-0.214314980529867,0.196199864707499,0.225814677201894,0.13856253119262,0.336764903036078,0.28396491336645,-0.125780271988008,0.0801485300727883,-0.03826861569123,0.0892518016870382
"cell_cycle","zmean",18,-0.622136797786181,-0.580690054419898,-1.30906193437845,-1.25327037560784,0.623603494728022,1.53866999192425,-0.58941739779375,-0.0576867841307055,-0.286606375739573,0.894218702622708,-0.329323810817644,0.726113638041667,0.184198388577268,1.01255170017214,-0.273473732496654,0.322311347104637
"mechanosensor_channels","zmedian",16,-0.658129496712514,-0.646295664070487,0.0515035710348055,0.0564913265434366,-0.689775168002462,-0.646480181112189,0.0749570191048736,0.499243432306252,0.469814394359781,0.684970541909985,-0.0265408255854757,0.591475524931552,-0.535846827846523,-0.27734927846748,0.345926948959185,0.350927066603837
"integrin_focal_adhesion","zmedian",23,-0.180207580474065,0.108508855829336,-0.226353740651245,-0.459278930148907,-0.122453622500184,0.0541543984406621,-0.17122575366082,-0.324444234261663,-0.218424985206941,-0.229075928446524,0.151241114661729,-0.128296582445653,0.19633356769868,0.197701435044106,0.234600566170596,0.2378740526828
"hippo_yap_taz","zmedian",17,0.361423709764106,0.0199148941812813,1.08374919362179,0.444748198981431,-0.159120219470422,0.0972518087808007,-0.0177133960491203,-0.567004934800642,-0.21016932689374,-0.048045987458307,0.314989744713262,0.163801812061897,-0.661280290345933,-0.513325949781125,-0.0857164553448384,0.0223992307448014
"actomyosin_rho","zmedian",20,0.0634245069749152,-0.136489531273651,-1.15347878641322,-0.760337351438467,0.437135107826644,0.164885521558722,-0.450508186108807,-0.591664909191866,0.665225711339075,0.518471942313157,-0.273460251949469,-0.199581232488866,1.01802930448965,0.807655170081,0.468290512162153,0.239537205454042
"ecm_remodeling","zmedian",23,-0.0297665214529221,0.522109273865783,-0.890933590116171,-0.21233589524306,0.472563055218441,0.26656503869622,-0.285867103298247,-0.235530875777468,0.247313857787068,0.794082613736622,-1.15624488520403,-0.567002699272511,0.146446561626198,0.670407472068148,-0.146913617492034,0.0599937038978877
"tgf_fibrosis","zmedian",19,0.442530789105275,0.446246450025092,0.526244510642261,0.502940726084008,0.312781273566428,0.370373548428292,0.12987957557432,0.342641270063731,-0.32857015812044,0.00668100863475502,-0.785292093911109,-0.232393435873626,-0.462188906901597,-0.29947754189993,-0.452072426295128,-0.328409501250744
"inflammation_ap1_nfkb","zmedian",15,0.461736494338621,0.692045054722641,0.62916518841768,1.18886197032905,-0.93377024252929,-0.352823956986602,-0.15192854830277,-0.163908239266393,0.20154125488126,0.768453309036585,-0.244563201381802,0.441662747418236,-0.738606686891904,-0.596013977898412,-0.456725002005252,-0.404175280265954
"hypoxia","zmedian",17,-0.253166256443827,-0.272558240863136,0.15458108539514,0.561203161893288,-0.52034436632291,-0.214332963473178,-0.125401974058315,0.10835902235984,0.37618080246435,0.148749158871818,0.247891028108708,0.576372394138487,-0.341645150755854,-0.0159004980594595,-0.237416401953815,-0.190496341967447
"cell_cycle","zmedian",18,-0.810308538814388,-0.61092345640864,-1.45679506935878,-1.28081436283459,0.805711870584684,1.74721991952107,-0.335283467851201,0.0827641515587481,-0.316814806375121,1.07604819199737,-0.254894906385723,0.708133451403749,0.244577173100103,1.03947764356648,-0.160947479378306,0.325002376623131
"mechanosensor_channels","rankmean",16,-0.590743160449317,-0.616998412024842,0.328190644694065,0.249424889967489,-0.669508915175892,-0.643253663600367,0.210042012604201,0.498849779934978,0.196914386816439,0.131276257877626,0.065638128938813,0.70889179253918,-0.433211650996166,-0.210042012604201,0.328190644694065,0.446339276783928
"integrin_focal_adhesion","rankmean",23,-0.0867564834669528,0.114153267719675,-0.269401711818432,-0.19634362047784,0.0867564834669528,0.0684919606318048,0.0319629149615089,-0.388121110246894,-0.0867564834669528,-0.0684919606318048,-0.0958887448845268,0.0502274377966569,0.168946836225119,0.178079097642693,0.452046940169912,0.0410951763790829
"hippo_yap_taz","rankmean",17,0.290352193894043,0.0185331187591942,0.203864306351137,0.216219718857266,-0.0555993562775827,-0.12973183131436,-0.228575131363396,-0.302707606400173,-0.0432439437714532,0.142087243820489,0.166798068832748,0.203864306351137,-0.277996781387914,-0.0185331187591943,-0.0926655937959712,-0.0926655937959712
"actomyosin_rho","rankmean",20,-0.0840168050416806,-0.199539911973991,-0.735147044114705,-0.598619735921974,0.378075622687563,0.0420084025208403,-0.577615534661554,-0.682636540963655,0.546109232770924,0.252050415125042,-0.147029408822941,0.0210042012604201,0.777155446635545,0.472594528359453,0.325565119536512,0.210042012604201
"ecm_remodeling","rankmean",23,0.0958887448845268,0.479443724422634,-0.862998703960741,-0.214608143312988,0.406385633082042,0.342459803159024,-0.0502274377966569,-0.0776242220493788,0.187211359060267,0.543369554345652,-1.04564393231222,-0.534237292928078,0.223740404730562,0.552501815763226,-0.141550051972397,0.0958887448845268
"tgf_fibrosis","rankmean",19,0.414556603824082,0.392446918286798,0.237679119525807,0.270843647831733,0.359282389980871,0.40350176105544,-0.127130691839385,0.127130691839385,-0.326117861674944,-0.00552742138432109,-0.370337232749513,-0.149240377376669,-0.215569433988523,-0.193459748451238,-0.414556603824082,-0.40350176105544
"inflammation_ap1_nfkb","rankmean",15,0.329065819746582,0.609121836552184,0.427085425628543,1.04320866260087,-0.945189056718907,-0.189037811343781,-0.175035010503501,0.00700140042014005,0.217043413024342,0.609121836552184,-0.0770154046215405,0.329065819746582,-0.763152645795265,-0.357071421427142,-0.665133039913305,-0.399079823947983
"hypoxia","rankmean",17,-0.36448466893082,-0.0926655937959712,0.0308885312653237,0.36448466893082,-0.62394833155954,-0.0803101812898417,-0.203864306351137,0.203864306351137,0.203864306351137,0.142087243820489,0.203864306351137,0.290352193894043,-0.203864306351137,0.0432439437714532,-0.00617770625306475,0.0926655937959712
"cell_cycle","rankmean",18,-0.676802040613538,-0.548443032910971,-1.27192107632544,-1.23691407422474,0.735147044114705,1.38861108332778,-0.676802040613538,-0.116690007002334,-0.303394018206069,0.805161048316106,-0.373408022407469,0.828499049716573,0.256718015405135,1.14356206862287,-0.385077023107703,0.431753025908636
"mechanosensor_channels","centered_mean",16,-0.2602969952951,-0.325541882476628,0.104265488198631,0.0548879381118473,-0.28938306227428,-0.321750660604239,0.0894848114309915,0.174901174220196,0.17964216386456,0.174175216248986,0.0762270682494214,0.339428333469088,-0.232063820425042,-0.14613126512927,0.147684394453763,0.234471097957073
"integrin_focal_adhesion","centered_mean",23,-0.0033002373634273,-0.0173016126176203,-0.0630552460574779,-0.0809240396136807,0.0485515545043998,0.0258135855967789,-0.0614666898228186,-0.115612789287607,-0.0810484896190501,-0.0646230650793101,0.0297139674284768,0.0733656404714118,0.0774263360574776,0.0470538705376231,0.135263045151563,0.0501441697132609
"hippo_yap_taz","centered_mean",17,0.128164485719303,0.0690577263865292,-0.112638287068694,-0.0904413224884442,0.11801636544181,0.0326458657078924,-0.159805977774653,-0.23073518116729,0.0350069414005405,0.131591748457436,-0.0591894132660852,-0.0524394009188329,0.0765856751158272,0.180421083253138,-0.0693649847913976,0.00312467599292059
"actomyosin_rho","centered_mean",20,0.0034342305018789,0.0456015023543303,-0.650413227427983,-0.481301658098483,0.235914678380485,0.117765790862371,-0.369077241695314,-0.47483949784354,0.34494966726106,0.260310348174034,-0.165072796563876,-0.150388670592828,0.554940950192756,0.507101898765828,0.114899457160009,0.106174568569268
"ecm_remodeling","centered_mean",23,0.118340426472679,0.264795542006384,-0.537403197226502,-0.269390301811256,0.241724258337641,0.185820476531844,-0.206772338735628,-0.274584911488018,0.277428045657673,0.395857620015377,-0.523424419876731,-0.251373860961208,0.234531262947112,0.356533236133364,-0.0393763113651699,0.027294473362438
"tgf_fibrosis","centered_mean",19,0.322613431309739,0.301602705888457,-0.0684202438062182,0.0188405135304696,0.267268250812507,0.271256183453601,-0.205862776701338,-0.0855634777587527,-0.00618008006024939,0.125983674773428,-0.354680028321572,-0.18248988739366,0.0532731462266334,0.112350108288862,-0.332911368823363,-0.237080151418541
