"source","module","role","genes_total","genes_present","coverage_fraction","core_module","core_module_gate"
"GSE123100","mechanosensor_channels","primary",20,20,1,FALSE,NA
"GSE123100","integrin_focal_adhesion","primary",23,22,0.956521739130435,TRUE,TRUE
"GSE123100","hippo_yap_taz","primary",19,19,1,TRUE,TRUE
"GSE123100","actomyosin_rho","primary",20,19,0.95,TRUE,TRUE
"GSE123100","ecm_remodeling","competitor",23,21,0.91304347826087,FALSE,NA
"GSE123100","tgf_fibrosis","competitor",20,19,0.95,FALSE,NA
"GSE123100","inflammation_ap1_nfkb","competitor",21,20,0.952380952380952,FALSE,NA
"GSE123100","hypoxia","competitor",18,18,1,FALSE,NA
"GSE123100","cell_cycle","competitor",18,18,1,FALSE,NA
