"source","sample_id","target_state","pair_family","gene_a","gene_b","cells","gene_a_detection_rate","gene_b_detection_rate","observed_co_detection_rate","expected_independence_rate","excess_co_detection_rate","co_detection_enrichment_ratio","permutation_p_one_sided","permutation_reps","library_size_stratified","library_size_field"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGAV","CFL1",1042,0.187140115163148,0.850287907869482,0.161228406909789,0.164304705647042,-0.00307629873725337,0.981276867724885,0.830845771144279,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGB1","CFL1",1042,0.604606525911708,0.850287907869482,0.522072936660269,0.521873721981021,0.000199214679247772,1.00038172966152,0.527363184079602,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGA2","CFL1",1042,0.00671785028790787,0.850287907869482,0.00671785028790787,0.00603303459300458,0.000684815694903288,1.11351098428929,0.467661691542289,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","PARVA","CFL1",1042,0.157389635316699,0.850287907869482,0.141074856046065,0.138967959536429,0.00210689650963633,1.01516102356734,0.313432835820896,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGA5","CFL1",1042,0.206333973128599,0.850287907869482,0.177543186180422,0.18046057797795,-0.00291739179752748,0.983833633748619,0.845771144278607,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","FERMT2","CFL1",1042,0.281190019193858,0.850287907869482,0.241842610364683,0.246548378849976,-0.00470576848529233,0.980913407310799,0.895522388059702,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGAV","LIMK1",1042,0.187140115163148,0.0249520153550864,0.00863723608445298,0.00533090408761367,0.0033063319968393,1.62021974931448,0.114427860696517,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGB1","LIMK1",1042,0.604606525911708,0.0249520153550864,0.0124760076775432,0.0160487993007186,-0.00357279162317541,0.777379506327589,0.950248756218905,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGA2","LIMK1",1042,0.00671785028790787,0.0249520153550864,0,0.000207167015763056,-0.000207167015763056,0,1,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","PARVA","LIMK1",1042,0.157389635316699,0.0249520153550864,0.00575815738963532,0.00448634882535331,0.001271808564282,1.28348410116814,0.318407960199005,200,TRUE,"metadata_library_proxy"
"GSE130973","S1","candidate_fibroblast_state","integrin_x_actomyosin","ITGA5","LIMK1",1042,0.206333973128599,0.0249520153550864,0.00767754318618042,0.00573889162689122,0.0019386515592892,1.33780940385859,0.203980099502488,200,TRUE,"metadata_library_proxy"
