source,sample_id,target_state,gene,cells,detected_cells,detection_rate,library_size_field
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,ITGA5,10154,5581,0.5496356115816428,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,ITGAV,10154,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,ITGB1,10154,9367,0.9224935985818397,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,LIMK1,10154,1231,0.12123301162103604,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,NF2,10154,1580,0.15560370297419737,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,PANX1,10154,966,0.09513492219814851,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,PARVA,10154,5247,0.5167421705731732,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,PIEZO2,10154,2403,0.2366555052196179,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,TEAD1,10154,2099,0.2067165649005318,NOT_AVAILABLE
PRJNA607098,SRS6155883,F7: Fascia-like myofibroblast,TMEM63B,10154,1827,0.1799290919834548,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,CDC42,659,486,0.7374810318664643,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,CFL1,659,581,0.881638846737481,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,CNN2,659,176,0.26707132018209406,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,FERMT2,659,504,0.7647951441578149,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,ITGA2,659,20,0.030349013657056147,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,ITGA5,659,374,0.56752655538695,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,ITGAV,659,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,ITGB1,659,614,0.9317147192716236,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,LIMK1,659,128,0.19423368740515934,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,NF2,659,140,0.212443095599393,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,PANX1,659,90,0.13657056145675264,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,PARVA,659,332,0.503793626707132,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,PIEZO2,659,217,0.3292867981790592,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,TEAD1,659,185,0.28072837632776937,NOT_AVAILABLE
PRJNA607098,SRS6155884,F7: Fascia-like myofibroblast,TMEM63B,659,207,0.3141122913505311,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,CDC42,474,293,0.6181434599156118,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,CFL1,474,364,0.7679324894514767,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,CNN2,474,146,0.3080168776371308,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,FERMT2,474,346,0.729957805907173,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,ITGA2,474,7,0.014767932489451477,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,ITGA5,474,312,0.6582278481012658,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,ITGAV,474,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,ITGB1,474,411,0.8670886075949367,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,LIMK1,474,58,0.12236286919831224,NOT_AVAILABLE
PRJNA607098,SRS6155885,F7: Fascia-like myofibroblast,NF2,474,93,0.1962025316455696,NOT_AVAILABLE
