"metric","value"
"tar_member_count","3"
"tar_sample_prefix_count","1"
"tar_sample_prefixes","GSM8425828_GMC01"
"series_metadata_row_count","1"
"series_metadata_geo_accessions","GSM8425828"
"local_data_supports_14_sample_inference","FALSE"
