"module","role","analysis_use","NGenes","Direction","PValue","FDR","cell_line","age_background","contrast"
"ecm_remodeling","competitor","competing_explanation",23,"Up",0.0909681190219593,0.204678267799408,"GM09503","young_10y","mechanical_x_tgfb"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.739356528276048,0.831776094310554,"GM09503","young_10y","mechanical_x_tgfb"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Up",0.0514868101733703,0.204678267799408,"GM09503","young_10y","mechanical_x_tgfb"
"hypoxia","competitor","competing_explanation",17,"Up",0.0833836115953386,0.204678267799408,"GM09503","young_10y","mechanical_x_tgfb"
"cell_cycle","competitor","competing_explanation",18,"Down",0.152433090707683,0.274379563273829,"GM09503","young_10y","mechanical_x_tgfb"
"mechanosensor_channels","primary","mechanism_gate",16,"Up",0.211616876529863,0.272078841252681,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"integrin_focal_adhesion","primary","core_mechanotransduction_gate",23,"Up",5.92345790487175e-05,0.000266555605719229,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"hippo_yap_taz","primary","mechanism_gate",17,"Up",0.46034998011249,0.46034998011249,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"actomyosin_rho","primary","core_mechanotransduction_gate",20,"Up",5.63456892983815e-10,5.07111203685434e-09,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"ecm_remodeling","competitor","competing_explanation",23,"Up",0.0170930997046875,0.038459474335547,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"tgf_fibrosis","competitor","competing_explanation",19,"Down",0.299479001192578,0.33691387634165,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
"inflammation_ap1_nfkb","competitor","competing_explanation",15,"Down",0.170211566170041,0.255317349255062,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent"
