"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.11167702065613,7.32004497240032,0.630978688873031,0.540865239658062,0.635770118303849,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.540865239658062
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.476469204097363,8.34188750988088,3.1003536200509,0.00927768152820734,0.0257281293369226,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.0198807461318729
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.305804446396022,1.74178423414139,0.69943785804156,0.496953255670064,0.595948191860514,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.532449916789354
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate",0.512043296879408,2.22221113501495,1.13449154936394,0.277652991779497,0.383067639222852,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.320368836668651
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate",0.230410898096828,5.47111301790986,1.28635124046809,0.221391247949926,0.320337677486133,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.276739059937407
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate",1.39037816788902,6.12793738269265,6.92335849976929,2.21064363415427e-05,0.000300510020126362,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,8.28991362807851e-05
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate",0.431524593830923,6.51426092140198,3.52171447367186,0.00390906881607568,0.0130148890891643,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.00977267204018921
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate",-0.189215061285255,8.49594431342776,-1.58139546117956,0.138485141573823,0.221119361997039,"GM09503","young_10y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.207727712360735
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.644379774018942,8.54548437790078,4.93726406534877,0.000295175084687787,0.00465060980402491,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.00147587542343893
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.589092891116557,11.2221895417477,6.28128878301457,3.21626881008247e-05,0.0008465008220405,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.000241220160756185
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",0.328670190908145,9.90799274558812,3.34947017155335,0.00541658541030764,0.0375052382971037,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.0135414635257691
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.0714957837779941,8.88244242785277,-0.668186741239363,0.516035025167175,0.704171645120626,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.595425029039048
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.177864046870342,8.53639942350322,1.71496694467294,0.110753131995047,0.280638162818792,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.16612969799257
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.25850890442966,7.36316506012958,2.02924380806827,0.0640431129695948,0.19993372691785,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.106738521615991
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.464734915902488,8.98352543688276,3.82888923656707,0.00219434880975135,0.0199301592462492,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.00658304642925405
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",1.40351206998491,7.32004497240032,7.90903421090825,7.00899520202913e-06,0.000258544086442113,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.000105134928030437
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.686008144954579,8.34188750988088,4.51125119265472,0.000729446005947626,0.00896913874150265,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.0027354225223036
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.193024137925185,1.74178423414139,0.513127005672787,0.616715584376152,0.778069355620822,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.616715584376152
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate",-1.0469382637425,2.22221113501495,-2.99056907118175,0.0107125900783205,0.0608268470521179,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.0229555501678297
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate",-0.255609359311502,5.47111301790986,-1.62796364733359,0.128197230982624,0.307856920156908,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.174814405885397
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate",-0.473075225381828,6.12793738269265,-2.42162821772681,0.0334153945407465,0.13095268853899,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.0626538647638997
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate",-0.0638100989060018,6.51426092140198,-0.552660729577916,0.590139176462672,0.760301683083619,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.616715584376152
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate",-0.129416625880383,8.49594431342776,-1.14481247123925,0.27350947228601,0.487316506334914,"GM09503","young_10y","tgfb_present_vs_absent_relaxed",TRUE,0.341886840357513
