"source","module","role","genes_total","genes_present","coverage_fraction","effect_per_log10_kPa","ci_low","ci_high","p_value","spearman_rho","spearman_p","n_samples","model_status","q_module"
"GSE123100","mechanosensor_channels","primary",20,20,1,0.0769411949476588,-0.00123784637182736,0.155120236267145,0.0529323795786497,0.669752957118536,0.0241644273369414,11,"fit_with_culture_group_adjustment",0.317455568869366
"GSE123100","integrin_focal_adhesion","primary",23,22,0.956521739130435,0.0652712068200238,-0.141658172978886,0.272200586618934,0.487732873868723,0.0917469804271967,0.788478313421582,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","hippo_yap_taz","primary",19,19,1,0.0323965247909955,-0.186274433931618,0.251067483513609,0.741423350469493,-0.0779849333631172,0.819717130046615,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","actomyosin_rho","primary",20,19,0.95,-0.00350349981212163,-0.11047915721737,0.103472157593127,0.941653322425014,-0.027524094128159,0.935974749691415,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","ecm_remodeling","competitor",23,21,0.91304347826087,0.0662218263400376,-0.187978182146499,0.320421834826574,0.564641463794436,0.0183493960854393,0.957295539966406,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","tgf_fibrosis","competitor",20,19,0.95,0.0102213462163987,-0.135902481366887,0.156345173799684,0.87585259620538,0.055048188256318,0.872288363084034,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","inflammation_ap1_nfkb","competitor",21,20,0.952380952380952,-0.134267874237828,-0.282755519677686,0.0142197712020301,0.0705456819709701,-0.600942721798138,0.0505443889809533,11,"fit_with_culture_group_adjustment",0.317455568869366
"GSE123100","hypoxia","competitor",18,18,1,0.00543101018995939,-0.102773599621957,0.113635620001876,0.910708777365697,0.0321114431495189,0.925327704025815,11,"fit_with_culture_group_adjustment",0.941653322425014
"GSE123100","cell_cycle","competitor",18,18,1,-0.172618411672612,-0.724619020448305,0.379382197103081,0.491369045843979,-0.165144564768954,0.62749486595089,11,"fit_with_culture_group_adjustment",0.941653322425014
