"source","gene","present_in_matrix"
"GSE276045","ITGAV",TRUE
"GSE276045","ITGB1",TRUE
"GSE276045","ITGA2",TRUE
"GSE276045","PARVA",TRUE
"GSE276045","ITGA5",TRUE
"GSE276045","FERMT2",TRUE
"GSE276045","CFL1",TRUE
"GSE276045","LIMK1",TRUE
"GSE276045","CNN2",TRUE
"GSE276045","CDC42",TRUE
"GSE276045","PIEZO2",TRUE
"GSE276045","TMEM63B",TRUE
"GSE276045","PANX1",TRUE
"GSE276045","NF2",TRUE
"GSE276045","TEAD1",TRUE
